Informazioni cronologiche,P,Nationality,Participant ID,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. 
8/13/2025 9:34:44,F,Italian,3318f716-94c4-4264-a345-2546b545b2a1,2,5,5,9,9,9,6,9,9
8/13/2025 10:33:42,B,German,6f8e74ce-80c1-4afa-bc56-7aee0085ab76,1,1,2,3,5,4,5,5,4
8/13/2025 10:38:15,A,German,6f8e74ce-80c1-4afa-bc56-7aee0085ab76,1,1,1,2,2,2,2,2,2
8/13/2025 10:41:59,F,German,6f8e74ce-80c1-4afa-bc56-7aee0085ab76,1,1,2,5,6,5,5,5,5
8/13/2025 11:41:32,A,German,ee12cbc0-c683-4c40-88a5-ab4b99aeebdb,4,5,3,6,6,6,4,6,4
8/13/2025 11:45:26,B,German,ee12cbc0-c683-4c40-88a5-ab4b99aeebdb,6,5,5,7,8,8,7,5,5
8/13/2025 11:49:34,F,German,ee12cbc0-c683-4c40-88a5-ab4b99aeebdb,5,5,5,7,7,7,8,9,7
8/13/2025 12:53:53,B,Italian,e5a48669-afa0-47a4-a209-55d7b5b2b6b9,3,2,4,8,9,9,7,9,8
8/13/2025 12:57:59,A,Italian,e5a48669-afa0-47a4-a209-55d7b5b2b6b9,3,3,4,7,6,8,8,8,7
8/13/2025 13:01:35,F,Italian,e5a48669-afa0-47a4-a209-55d7b5b2b6b9,4,4,2,6,7,7,5,7,6
8/13/2025 14:03:31,B,Italian,6bb1b078-2981-416a-97f4-c2d879a59d63,1,2,3,4,4,6,5,5,4
8/13/2025 14:07:53,A,Italian,6bb1b078-2981-416a-97f4-c2d879a59d63,1,1,3,3,2,2,3,5,3
8/13/2025 14:12:39,F,Italian,6bb1b078-2981-416a-97f4-c2d879a59d63,2,2,4,5,6,6,4,4,5
8/13/2025 15:10:46,B,German,53d3e943-cd2e-45c1-b454-52e0d27145fb,2,1,3,4,4,3,6,8,4
8/13/2025 15:14:55,F,German,53d3e943-cd2e-45c1-b454-52e0d27145fb,2,2,4,6,6,6,5,8,6
8/13/2025 15:20:08,A,German,53d3e943-cd2e-45c1-b454-52e0d27145fb,2,2,3,5,6,7,5,7,5
8/13/2025 16:25:16,F,German,54327bfe-6f42-427f-b32d-02e417005af2,2,2,3,3,6,3,2,4,2
8/13/2025 16:29:06,A,German,54327bfe-6f42-427f-b32d-02e417005af2,1,1,1,2,3,2,4,4,2
8/13/2025 16:32:30,B,German,54327bfe-6f42-427f-b32d-02e417005af2,2,1,3,6,7,8,7,6,7
8/13/2025 17:29:08,B,Italian,83960241-a4c6-45de-9e6e-cc3a74c992f3,1,1,1,3,3,8,1,7,4
8/13/2025 17:33:31,A,Italian,83960241-a4c6-45de-9e6e-cc3a74c992f3,1,1,1,2,8,8,2,7,2
8/13/2025 17:37:13,F,Italian,83960241-a4c6-45de-9e6e-cc3a74c992f3,1,1,1,3,8,8,2,7,2
8/14/2025 8:10:43,B,German,e9a864b0-8b7c-4e9a-b0a8-30f178ff28fa,1,1,1,2,2,2,3,5,2
8/14/2025 8:15:38,F,German,e9a864b0-8b7c-4e9a-b0a8-30f178ff28fa,3,3,4,7,7,8,8,7,8
8/14/2025 8:20:08,A,German,e9a864b0-8b7c-4e9a-b0a8-30f178ff28fa,2,3,3,7,7,6,8,7,7
8/14/2025 9:26:37,A,Italian,25871003-e174-4bef-8e09-fb8f2e7ada43,2,1,1,4,6,5,4,6,6
8/14/2025 9:30:46,F,Italian,25871003-e174-4bef-8e09-fb8f2e7ada43,2,1,3,4,6,6,3,5,5
8/14/2025 9:34:56,B,Italian,25871003-e174-4bef-8e09-fb8f2e7ada43,1,1,6,7,7,7,7,5,7
8/14/2025 10:31:46,B,Italian,bd325b19-676d-4a2a-bbe0-4fbf8efe6a27,1,2,4,6,7,6,5,7,5
8/14/2025 10:35:11,F,Italian,bd325b19-676d-4a2a-bbe0-4fbf8efe6a27,2,2,3,6,6,5,4,5,5
8/14/2025 10:38:40,A,Italian,bd325b19-676d-4a2a-bbe0-4fbf8efe6a27,1,1,1,2,3,3,1,2,1
8/14/2025 11:11:46,A,Italian,59fe0540-66fd-4fa6-ac63-76d06890b7c2,2,1,2,2,2,2,1,1,1
8/14/2025 11:17:59,B,Italian,59fe0540-66fd-4fa6-ac63-76d06890b7c2,3,2,3,3,6,6,2,6,5
8/14/2025 11:22:04,F,Italian,59fe0540-66fd-4fa6-ac63-76d06890b7c2,5,4,4,4,6,6,3,7,4
8/14/2025 13:58:35,A,Italian,e68108b4-aeaa-4005-9c08-b9cdd7a87729,4,4,4,5,6,6,6,7,6
8/14/2025 14:02:28,F,Italian,e68108b4-aeaa-4005-9c08-b9cdd7a87729,3,3,4,6,8,8,7,7,7
8/14/2025 14:06:18,B,Italian,e68108b4-aeaa-4005-9c08-b9cdd7a87729,3,2,5,8,9,9,9,8,8
8/18/2025 9:18:51,B,Italian,75601dde-bfc7-4c5d-bd3d-02a5703c4bf2,2,2,1,7,8,9,5,7,6
8/18/2025 9:23:52,A,Italian,75601dde-bfc7-4c5d-bd3d-02a5703c4bf2,3,3,2,6,7,8,7,7,6
8/18/2025 9:27:39,F,Italian,75601dde-bfc7-4c5d-bd3d-02a5703c4bf2,3,3,2,7,8,8,7,6,5
8/18/2025 10:23:42,F,Italian,c12a3001-11c2-4e38-8bb5-788342191e17,5,2,1,2,7,4,7,6,5
8/18/2025 10:27:42,A,Italian,c12a3001-11c2-4e38-8bb5-788342191e17,2,2,1,4,3,3,3,7,6
8/18/2025 10:31:27,B,Italian,c12a3001-11c2-4e38-8bb5-788342191e17,1,1,3,6,7,8,7,8,8
8/18/2025 11:44:47,F,Italian,e979e6ff-54dd-4c1d-b148-64480ed585cf,2,2,1,2,3,4,2,6,3
8/18/2025 11:49:35,B,Italian,e979e6ff-54dd-4c1d-b148-64480ed585cf,1,1,1,6,6,3,2,6,2
8/18/2025 11:53:12,A,Italian,e979e6ff-54dd-4c1d-b148-64480ed585cf,2,2,2,6,8,8,5,7,5
8/18/2025 14:04:31,F,Italian,873bbe79-2354-4c1d-ae4e-f787e61a1956,4,3,5,6,6,6,5,4,6
8/18/2025 14:08:35,B,Italian,873bbe79-2354-4c1d-ae4e-f787e61a1956,5,4,5,7,7,8,7,7,6
8/18/2025 14:11:59,A,Italian,873bbe79-2354-4c1d-ae4e-f787e61a1956,4,3,3,5,4,3,5,6,5
8/18/2025 15:10:40,F,Italian,c7373ea2-6f06-4cd2-bc9f-75dfbaa8c5fd,2,2,3,2,2,1,5,4,5
8/18/2025 15:14:52,B,Italian,c7373ea2-6f06-4cd2-bc9f-75dfbaa8c5fd,1,1,4,5,7,6,8,7,7
8/18/2025 15:19:18,A,Italian,c7373ea2-6f06-4cd2-bc9f-75dfbaa8c5fd,2,2,2,1,3,3,6,2,1
8/18/2025 16:23:08,A,Italian,b1f78262-947f-4f64-b434-66eed804c0a2,1,1,1,1,1,1,1,1,1
8/18/2025 16:27:01,B,Italian,b1f78262-947f-4f64-b434-66eed804c0a2,1,1,1,1,1,1,1,1,1
8/18/2025 16:30:20,F,Italian,b1f78262-947f-4f64-b434-66eed804c0a2,1,1,1,1,1,1,1,1,1
8/18/2025 17:37:51,F,Italian,93dcfeaa-e30b-40f7-96ec-602592ff2b0a,4,5,6,7,8,8,7,9,7
8/18/2025 17:42:01,B,Italian,93dcfeaa-e30b-40f7-96ec-602592ff2b0a,5,5,7,8,9,9,8,8,8
8/18/2025 17:47:09,A,Italian,93dcfeaa-e30b-40f7-96ec-602592ff2b0a,5,5,6,7,8,8,7,8,7
8/19/2025 8:13:54,A,German,d510493c-d0f3-4094-8d3b-07d71f8fae47,2,2,3,6,6,7,5,6,8
8/19/2025 8:18:04,F,German,d510493c-d0f3-4094-8d3b-07d71f8fae47,1,2,2,5,8,8,5,6,6
8/19/2025 8:21:32,B,German,d510493c-d0f3-4094-8d3b-07d71f8fae47,3,3,3,8,8,9,7,8,8
8/19/2025 9:26:20,A,German,f31981fc-9011-4437-b2d0-b29e34f4d363,1,2,4,5,7,6,4,6,5
8/19/2025 9:32:03,F,German,f31981fc-9011-4437-b2d0-b29e34f4d363,1,3,4,6,7,6,6,6,5
8/19/2025 9:39:18,B,German,f31981fc-9011-4437-b2d0-b29e34f4d363,1,2,5,6,7,7,5,6,6
8/19/2025 10:25:02,F,Italian,a12345e3-86bb-407c-b37d-958545f2b64b,4,3,4,6,7,7,3,7,5
8/19/2025 10:28:44,A,Italian,a12345e3-86bb-407c-b37d-958545f2b64b,5,4,4,4,7,7,3,7,3
8/19/2025 10:33:12,B,Italian,a12345e3-86bb-407c-b37d-958545f2b64b,4,4,6,6,7,8,4,7,4
8/19/2025 11:40:43,A,German,75ce6743-7ce3-44de-adfc-a86b0e097dcc,5,4,2,5,2,4,3,7,4
8/19/2025 11:44:11,B,German,75ce6743-7ce3-44de-adfc-a86b0e097dcc,6,4,5,6,8,7,7,7,7
8/19/2025 11:47:56,F,German,75ce6743-7ce3-44de-adfc-a86b0e097dcc,5,5,5,6,8,7,6,7,6
8/19/2025 12:56:24,B,German,d1d8ea35-9127-46a9-aa2d-c37a16537f18,1,2,2,4,5,5,5,6,5
8/19/2025 13:01:19,A,German,d1d8ea35-9127-46a9-aa2d-c37a16537f18,1,1,1,2,2,3,3,2,3
8/19/2025 13:07:15,F,German,d1d8ea35-9127-46a9-aa2d-c37a16537f18,2,2,1,5,4,4,5,5,5
8/19/2025 14:09:40,A,German,9fde0dbf-bef3-460e-90e5-7371e72bf61e,2,2,3,4,4,4,5,5,3
8/19/2025 14:16:31,B,German,9fde0dbf-bef3-460e-90e5-7371e72bf61e,2,2,4,5,6,5,6,5,6
8/19/2025 14:23:54,F,German,9fde0dbf-bef3-460e-90e5-7371e72bf61e,5,5,5,7,7,8,8,8,8
8/19/2025 16:22:41,F,German,d5f6e081-f5da-4662-8e94-5e78d8faf500,2,2,5,6,7,8,5,7,4
8/19/2025 16:28:38,A,German,d5f6e081-f5da-4662-8e94-5e78d8faf500,1,1,2,5,8,8,3,7,4
8/19/2025 16:31:50,B,German,d5f6e081-f5da-4662-8e94-5e78d8faf500,2,4,1,6,9,8,6,5,5
8/19/2025 17:45:10,A,German,ebc22b3f-a946-4b0b-928e-b0a6159b665c,1,1,1,2,3,2,2,2,3
8/19/2025 17:49:05,B,German,ebc22b3f-a946-4b0b-928e-b0a6159b665c,2,2,2,5,5,5,5,7,6
8/19/2025 17:54:31,F,German,ebc22b3f-a946-4b0b-928e-b0a6159b665c,1,2,2,3,3,4,3,6,5
8/20/2025 8:12:44,F,Italian,8c89daf6-0bff-464a-abbc-31ee4d8102aa,2,1,4,4,7,7,5,7,6
8/20/2025 8:16:53,A,Italian,8c89daf6-0bff-464a-abbc-31ee4d8102aa,2,3,5,6,7,7,6,8,6
8/20/2025 8:20:49,B,Italian,8c89daf6-0bff-464a-abbc-31ee4d8102aa,1,2,5,8,9,9,7,9,8
8/20/2025 9:24:19,F,German,d07625d6-1896-4f00-88a4-af8f3876f20d,4,2,4,6,7,8,6,5,6
8/20/2025 9:28:14,B,German,d07625d6-1896-4f00-88a4-af8f3876f20d,3,4,4,5,9,8,6,5,4
8/20/2025 9:32:41,A,German,d07625d6-1896-4f00-88a4-af8f3876f20d,4,2,3,5,9,9,7,8,4
8/20/2025 10:25:23,F,German,48058970-cb05-497a-afdc-417cd948375d,3,2,3,2,3,3,5,6,3
8/20/2025 10:28:59,B,German,48058970-cb05-497a-afdc-417cd948375d,2,2,2,2,4,2,3,5,3
8/20/2025 10:35:18,A,German,48058970-cb05-497a-afdc-417cd948375d,3,2,2,4,6,6,4,5,4
8/20/2025 12:54:46,A,Italian,f46c92aa-e6b6-420e-b3fa-5a2aad8d9fa2,6,6,4,3,4,4,5,5,3
8/20/2025 12:58:18,B,Italian,f46c92aa-e6b6-420e-b3fa-5a2aad8d9fa2,7,7,6,9,9,8,8,8,8
8/20/2025 13:01:56,F,Italian,f46c92aa-e6b6-420e-b3fa-5a2aad8d9fa2,6,7,6,8,8,8,8,8,8
8/20/2025 14:01:38,B,Italian,dd50c4cc-d31c-4500-80c4-6ed8678bdba9,1,1,3,4,8,8,6,8,8
8/20/2025 14:05:37,F,Italian,dd50c4cc-d31c-4500-80c4-6ed8678bdba9,3,3,6,7,3,3,6,7,6
8/20/2025 14:09:46,A,Italian,dd50c4cc-d31c-4500-80c4-6ed8678bdba9,2,2,4,8,7,8,7,8,7
8/20/2025 15:07:53,B,Italian,446bf80b-692a-47a6-a394-89b1f3cdf89f,2,3,3,7,8,9,8,9,8
8/20/2025 15:12:43,A,Italian,446bf80b-692a-47a6-a394-89b1f3cdf89f,1,1,2,5,5,8,4,6,6
8/20/2025 15:18:10,F,Italian,446bf80b-692a-47a6-a394-89b1f3cdf89f,3,4,3,8,8,8,6,7,6
8/20/2025 16:26:50,B,German,4db961c3-1479-418f-a6bc-970fd0316cad,3,1,1,9,9,7,7,9,9
8/20/2025 16:31:01,F,German,4db961c3-1479-418f-a6bc-970fd0316cad,1,1,1,9,9,9,9,7,8
8/20/2025 16:35:57,A,German,4db961c3-1479-418f-a6bc-970fd0316cad,1,1,1,9,8,8,9,9,9
8/20/2025 17:28:15,F,German,b932fb2d-6574-4124-bd4c-03a0c3bf08fd,4,2,3,6,7,8,5,6,5
8/20/2025 17:33:16,A,German,b932fb2d-6574-4124-bd4c-03a0c3bf08fd,2,3,3,6,8,7,6,6,6
8/20/2025 17:37:36,B,German,b932fb2d-6574-4124-bd4c-03a0c3bf08fd,2,3,2,5,7,7,5,5,6
8/21/2025 8:13:51,A,Italian,65abbaa2-1adb-4ed5-9569-66bef39d147a,2,2,3,5,6,6,4,8,6
8/21/2025 8:17:48,B,Italian,65abbaa2-1adb-4ed5-9569-66bef39d147a,2,2,3,6,6,5,5,4,5
8/21/2025 8:22:10,F,Italian,65abbaa2-1adb-4ed5-9569-66bef39d147a,2,2,4,6,7,7,6,4,6
8/21/2025 9:16:58,F,Italian,73f9f44d-e3dd-4508-ac67-58fec77cb282,1,1,1,6,6,7,6,8,6
8/21/2025 9:21:10,B,Italian,73f9f44d-e3dd-4508-ac67-58fec77cb282,1,1,2,8,8,8,7,8,6
8/21/2025 9:25:11,A,Italian,73f9f44d-e3dd-4508-ac67-58fec77cb282,1,1,3,8,8,7,8,9,8
8/21/2025 10:41:19,A,German,9f0b2bd2-910e-4bda-b01b-cc2418f6d69c,1,3,7,6,8,9,8,9,6
8/21/2025 10:45:22,B,German,9f0b2bd2-910e-4bda-b01b-cc2418f6d69c,5,4,6,6,9,9,7,9,8
8/21/2025 10:48:47,F,German,9f0b2bd2-910e-4bda-b01b-cc2418f6d69c,4,2,6,7,9,9,6,9,8
8/21/2025 12:54:21,F,German,8a9560ba-939a-4096-ab6b-3d829874c1ab,4,4,3,8,8,5,8,5,5
8/21/2025 12:58:10,B,German,8a9560ba-939a-4096-ab6b-3d829874c1ab,3,3,3,8,9,9,8,9,8
8/21/2025 13:01:58,A,German,8a9560ba-939a-4096-ab6b-3d829874c1ab,4,4,3,2,2,5,3,5,5
8/21/2025 14:06:02,B,German,6dae70e5-448b-415e-8971-daab8041bce0,1,1,2,4,7,6,5,7,6
8/21/2025 14:11:02,A,German,6dae70e5-448b-415e-8971-daab8041bce0,3,2,3,6,7,5,5,7,6
8/21/2025 14:15:24,F,German,6dae70e5-448b-415e-8971-daab8041bce0,3,2,3,4,6,7,5,6,6
8/21/2025 15:10:30,F,Italian,3c07aaba-0a94-471c-98aa-fde1b56da434,2,2,3,3,7,8,4,3,4
8/21/2025 15:14:51,A,Italian,3c07aaba-0a94-471c-98aa-fde1b56da434,1,2,3,2,2,8,2,3,3
8/21/2025 15:18:58,B,Italian,3c07aaba-0a94-471c-98aa-fde1b56da434,2,3,2,4,8,9,5,6,5
8/21/2025 16:17:17,B,Italian,268cc860-2c83-4306-ae13-fcf1dc95df3c,1,2,3,4,7,6,7,5,5
8/21/2025 16:22:06,F,Italian,268cc860-2c83-4306-ae13-fcf1dc95df3c,1,2,2,4,6,5,5,7,6
8/21/2025 16:25:57,A,Italian,268cc860-2c83-4306-ae13-fcf1dc95df3c,1,2,1,4,4,5,5,4,4
8/22/2025 8:12:58,A,German,101da011-5202-484f-bbcb-37ef039a2d7b,2,3,4,6,7,8,7,7,6
8/22/2025 8:16:48,B,German,101da011-5202-484f-bbcb-37ef039a2d7b,2,3,5,8,9,8,9,9,9
8/22/2025 8:21:03,F,German,101da011-5202-484f-bbcb-37ef039a2d7b,3,4,6,8,9,8,8,9,8
8/22/2025 9:22:20,F,Italian,217bc211-db4a-48da-ba5d-2898104d8269,4,3,3,6,7,7,6,9,6
8/22/2025 9:26:04,A,Italian,217bc211-db4a-48da-ba5d-2898104d8269,6,6,2,4,5,5,5,9,5
8/22/2025 9:30:24,B,Italian,217bc211-db4a-48da-ba5d-2898104d8269,3,3,6,7,6,8,5,8,6
8/22/2025 12:56:18,B,Italian,39ee18d4-e405-459a-a4af-a9a8e468b516,1,1,3,6,8,7,6,9,9
8/22/2025 13:03:32,F,Italian,39ee18d4-e405-459a-a4af-a9a8e468b516,3,4,5,7,7,8,5,7,8
8/22/2025 13:07:17,A,Italian,39ee18d4-e405-459a-a4af-a9a8e468b516,3,3,3,7,6,6,4,7,7
8/22/2025 14:06:12,B,Italian,703587b0-27fd-4a67-844b-5393d2523a08,2,2,3,5,4,9,6,5,4
8/22/2025 14:10:53,F,Italian,703587b0-27fd-4a67-844b-5393d2523a08,6,6,5,8,9,9,8,8,8
8/22/2025 14:15:41,A,Italian,703587b0-27fd-4a67-844b-5393d2523a08,6,6,4,5,8,9,6,6,6
8/22/2025 15:29:07,B,German,48fb29b4-5b1d-421c-baca-aad711d9b983,5,5,5,6,7,7,6,6,5
8/22/2025 15:33:26,A,German,48fb29b4-5b1d-421c-baca-aad711d9b983,5,5,3,5,4,5,6,4,5
8/22/2025 15:37:11,F,German,48fb29b4-5b1d-421c-baca-aad711d9b983,5,5,6,7,7,7,6,7,7
8/22/2025 16:15:05,A,Italian,5cb39904-13e1-4aae-ab46-cd8c25ee4617,2,2,4,6,8,8,7,7,7
8/22/2025 16:19:30,B,Italian,5cb39904-13e1-4aae-ab46-cd8c25ee4617,3,3,3,7,6,8,7,8,8
8/22/2025 16:23:47,F,Italian,5cb39904-13e1-4aae-ab46-cd8c25ee4617,3,3,4,6,7,7,6,8,7
8/22/2025 17:34:13,F,German,c518959a-629d-41c5-9c57-13d23114062a,5,6,4,7,7,7,6,9,7
8/22/2025 17:39:17,A,German,c518959a-629d-41c5-9c57-13d23114062a,5,5,5,5,4,3,3,5,5
8/22/2025 17:43:15,B,German,c518959a-629d-41c5-9c57-13d23114062a,6,6,7,7,8,8,7,8,7
8/25/2025 8:13:44,A,Italian,9f036f54-e4ba-4892-b7bd-84bbe146f227,1,1,3,7,9,6,6,5,5
8/25/2025 8:18:31,B,Italian,9f036f54-e4ba-4892-b7bd-84bbe146f227,1,3,2,6,7,8,6,6,6
8/25/2025 8:22:52,F,Italian,9f036f54-e4ba-4892-b7bd-84bbe146f227,1,2,3,6,7,6,6,6,6
8/25/2025 9:23:52,F,German,62497dd0-50a5-43ef-9f91-d7d46434bd8f,3,3,3,4,6,4,4,3,3
8/25/2025 9:28:23,B,German,62497dd0-50a5-43ef-9f91-d7d46434bd8f,2,2,1,3,5,4,3,3,3
8/25/2025 9:34:13,A,German,62497dd0-50a5-43ef-9f91-d7d46434bd8f,3,2,2,2,5,5,3,4,2
8/25/2025 11:49:27,A,German,47297d3c-5468-40a0-aa44-6323d590253c,5,6,7,8,9,9,8,8,7
8/25/2025 11:53:51,B,German,47297d3c-5468-40a0-aa44-6323d590253c,7,7,6,9,9,9,9,8,8
8/25/2025 11:57:51,F,German,47297d3c-5468-40a0-aa44-6323d590253c,4,5,4,5,3,3,5,4,4
8/25/2025 12:53:13,F,German,306ce31e-7894-4635-86a2-db5a2e2aee61,2,2,1,4,5,6,3,6,3
8/25/2025 12:57:39,A,German,306ce31e-7894-4635-86a2-db5a2e2aee61,2,2,3,3,7,8,3,7,4
8/25/2025 13:02:00,B,German,306ce31e-7894-4635-86a2-db5a2e2aee61,1,3,2,6,3,6,3,6,5
8/26/2025 9:26:50,B,German,872acdf7-1623-4b13-a37d-e25032e12d76,1,1,2,3,6,5,4,4,5
8/26/2025 9:33:47,F,German,872acdf7-1623-4b13-a37d-e25032e12d76,2,1,1,4,7,3,5,5,4
8/26/2025 9:38:42,A,German,872acdf7-1623-4b13-a37d-e25032e12d76,1,2,1,4,5,4,3,6,3
8/26/2025 11:49:06,B,German,d2a2b9b5-3bf3-4aee-a475-6848e7c033c1,1,2,4,5,7,6,6,6,6
8/26/2025 11:53:29,F,German,d2a2b9b5-3bf3-4aee-a475-6848e7c033c1,1,2,3,5,4,3,4,5,4
8/26/2025 11:57:11,A,German,d2a2b9b5-3bf3-4aee-a475-6848e7c033c1,1,2,3,4,4,5,5,6,5
8/26/2025 12:53:08,B,German,0da15b0e-6af5-46b5-97d9-8897e64ad864x,4,5,3,6,4,6,6,7,6
8/26/2025 12:58:20,F,German,0da15b0e-6af5-46b5-97d9-8897e64ad864x,3,4,3,4,7,7,5,7,6
8/26/2025 13:03:09,A,German,0da15b0e-6af5-46b5-97d9-8897e64ad864x,2,3,4,4,4,6,4,6,4
8/26/2025 14:00:05,A,German,38f76f66-888f-46ad-8272-4a7e2d198c2a,3,2,3,4,3,5,3,5,5
8/26/2025 14:05:15,F,German,38f76f66-888f-46ad-8272-4a7e2d198c2a,3,3,3,4,6,5,5,6,6
8/26/2025 14:09:15,B,German,38f76f66-888f-46ad-8272-4a7e2d198c2a,3,4,4,5,8,7,7,8,7
8/26/2025 17:26:29,A,Italian,94db124e-abb4-45d7-aeb5-1f0f4ce6514f,5,4,3,6,5,7,4,6,7
8/26/2025 17:29:54,B,Italian,94db124e-abb4-45d7-aeb5-1f0f4ce6514f,6,6,6,8,8,9,8,7,7
8/26/2025 17:33:51,F,Italian,94db124e-abb4-45d7-aeb5-1f0f4ce6514f,6,6,6,8,8,7,7,7,8
8/27/2025 8:12:43,B,Italian,14f09597-b462-4377-bc8c-ee9f84738755,3,4,2,5,4,6,4,7,5
8/27/2025 8:17:42,F,Italian,14f09597-b462-4377-bc8c-ee9f84738755,6,6,7,8,8,9,8,8,8
8/27/2025 8:21:37,A,Italian,14f09597-b462-4377-bc8c-ee9f84738755,5,5,4,6,6,8,6,8,6
8/27/2025 9:25:47,A,German,f7cb8760-aa5b-491a-bbb2-c61c0d1fe54b,2,2,1,2,3,3,3,3,3
8/27/2025 9:30:05,B,German,f7cb8760-aa5b-491a-bbb2-c61c0d1fe54b,2,2,2,3,4,4,4,4,3
8/27/2025 9:34:08,F,German,f7cb8760-aa5b-491a-bbb2-c61c0d1fe54b,2,2,2,5,5,5,5,5,4
8/27/2025 10:30:34,A,German,6df4a0d4-25f8-469c-b4e0-03d254d49444,3,3,2,6,5,4,6,6,7
8/27/2025 10:34:56,B,German,6df4a0d4-25f8-469c-b4e0-03d254d49444,4,2,4,4,6,7,5,7,4
8/27/2025 10:39:10,F,German,6df4a0d4-25f8-469c-b4e0-03d254d49444,3,2,3,5,6,6,6,6,4
8/27/2025 11:41:51,B,Italian,9176c65d-d05f-4ee5-bc6c-e4c10e31ce58,2,2,5,6,8,7,7,6,7
8/27/2025 11:46:49,A,Italian,9176c65d-d05f-4ee5-bc6c-e4c10e31ce58,4,4,5,8,9,9,8,9,8
8/27/2025 11:50:19,F,Italian,9176c65d-d05f-4ee5-bc6c-e4c10e31ce58,4,4,5,8,6,8,7,9,9
8/27/2025 12:51:47,F,German,bace0f65-c427-49a3-b91f-82b51bd6547c,1,1,1,2,2,3,2,2,3
8/27/2025 12:56:14,A,German,bace0f65-c427-49a3-b91f-82b51bd6547c,2,2,2,5,6,5,4,5,4
8/27/2025 13:01:20,B,German,bace0f65-c427-49a3-b91f-82b51bd6547c,2,1,3,4,6,6,4,5,4
8/27/2025 14:01:50,B,German,14d250d1-b72e-404d-8fd4-894c0d375599,1,4,1,4,6,4,6,3,4
8/27/2025 14:07:02,F,German,14d250d1-b72e-404d-8fd4-894c0d375599,2,2,3,4,4,4,6,4,6
8/27/2025 14:10:58,A,German,14d250d1-b72e-404d-8fd4-894c0d375599,2,2,2,3,2,3,2,5,3
