Language,Prolific_ID,Culture_Country,Culture_Language,Culture_Culture_Self,3rd View Video 1,3rd View Video 2,3rd View Video 3,3rd View Video 4,3rd View Video 5,3rd View Video 6,1st View Image 1,1st View Image 2,1st View Image 3,1st View Image 4,1st View Image 5,1st View Image 6
Italian,5a520774eedc3200014206b4,5.0,6.0,5.0,2.0,2.0,3.0,5.0,4.0,2.0,2.0,5.0,4.0,3.0,2.0,2.0
German,664a70b48ff64eb6fa5d8b05,4.0,7.0,3.0,3.0,2.0,3.0,3.0,4.0,5.0,1.0,2.0,3.0,4.0,5.0,5.0
Italian,578b4394ad1a6c0001466a6d,4.0,7.0,5.0,3.0,2.0,3.0,5.0,4.0,4.0,1.0,2.0,3.0,3.0,4.0,4.0
German,66d07c4598239f725fa002b6,4.0,4.0,4.0,1.0,1.0,2.0,3.0,5.0,5.0,1.0,3.0,5.0,4.0,3.0,3.0
German,66c6f369443af2a09227ffc3,3.0,5.0,5.0,4.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,3.0
German,663cdadebd57d114ba72b4e1,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0
English,67f95930e7b7de271e118c87,7.0,7.0,7.0,4.0,3.0,4.0,4.0,5.0,5.0,2.0,2.0,3.0,4.0,5.0,5.0
English,5ea824f580b9ef228f589930,4.0,5.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0
German,67aa8150dff45fad8801d249,5.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Italian,60f0035abb0afb22cdb36884,2.0,7.0,6.0,3.0,2.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,2.0,2.0
German,633b2bff8b720f0f0e41f0fc,1.0,3.0,1.0,2.0,3.0,2.0,5.0,5.0,4.0,2.0,3.0,4.0,5.0,5.0,5.0
German,65e0bee6f886849136294ce0,5.0,6.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,2.0,2.0,1.0
German,5b648251bd56550001bf31fd,4.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0
Italian,5f53ee2e1b73b474acb3adf8,3.0,6.0,6.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0
German,671fed50e69390f6b2370a67,5.0,6.0,5.0,3.0,3.0,4.0,5.0,4.0,3.0,3.0,5.0,2.0,2.0,1.0,1.0
German,67a941204a47fd12fb801074,4.0,6.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0,5.0
German,67448b94aabb41a5a27f3bfa,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0,4.0,4.0,2.0
