dependent,test,groupA,groupB,statistic,p_uncorrected,p_corrected,n_subjects,n_conditions,notes
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,B,F,0.4306472429106979,0.6681280154566054,1.0,67,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,A,B,,0.001253247699968616,0.0037597430999058478,67,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,A,F,,0.004305292365370998,0.012915877096112994,67,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,B,F,,0.6745917903407599,1.0,67,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,rm_anova,,,6.629727420983145,0.0018044647585483417,,67,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,A,B,-3.2232822857433225,0.001970634486340005,0.005911903459020014,67,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,A,F,-3.062389972345916,0.003175879088354146,0.009527637265062438,67,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,B,F,0.4306472429106979,0.6681280154566054,1.0,67,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,A,B,,0.001253247699968616,0.0037597430999058478,67,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,A,F,,0.004305292365370998,0.012915877096112994,67,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,B,F,,0.6745917903407599,1.0,67,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,rm_anova,,,6.629727420983145,0.0018044647585483417,,67,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,A,B,-3.2232822857433225,0.001970634486340005,0.005911903459020014,67,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,A,F,-3.062389972345916,0.003175879088354146,0.009527637265062438,67,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,B,F,0.4306472429106979,0.6681280154566054,1.0,67,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,A,B,,0.001253247699968616,0.0037597430999058478,67,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,A,F,,0.004305292365370998,0.012915877096112994,67,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,B,F,,0.6745917903407599,1.0,67,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,rm_anova,,,6.629727420983145,0.0018044647585483417,,67,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,A,B,-3.2232822857433225,0.001970634486340005,0.005911903459020014,67,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,A,F,-3.062389972345916,0.003175879088354146,0.009527637265062438,67,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,B,F,0.4306472429106979,0.6681280154566054,1.0,67,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,A,B,,0.001253247699968616,0.0037597430999058478,67,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,A,F,,0.004305292365370998,0.012915877096112994,67,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,B,F,,0.6745917903407599,1.0,67,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,rm_anova,,,6.629727420983145,0.0018044647585483417,,67,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,A,B,-3.2232822857433225,0.001970634486340005,0.005911903459020014,67,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,A,F,-3.062389972345916,0.003175879088354146,0.009527637265062438,67,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,B,F,0.4306472429106979,0.6681280154566054,1.0,67,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,A,B,,0.001253247699968616,0.0037597430999058478,67,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,A,F,,0.004305292365370998,0.012915877096112994,67,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,B,F,,0.6745917903407599,1.0,67,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,rm_anova,,,6.629727420983145,0.0018044647585483417,,67,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,A,B,-3.2232822857433225,0.001970634486340005,0.005911903459020014,67,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,A,F,-3.062389972345916,0.003175879088354146,0.009527637265062438,67,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,B,F,0.4306472429106979,0.6681280154566054,1.0,67,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,A,B,,0.001253247699968616,0.0037597430999058478,67,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,A,F,,0.004305292365370998,0.012915877096112994,67,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,B,F,,0.6745917903407599,1.0,67,3,
