dependent,test,groupA,groupB,statistic,p_uncorrected,p_corrected,n_subjects,n_conditions,notes
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,A,F,,0.26577262527323875,0.7973178758197162,38,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,B,F,,0.3720098908246773,1.0,38,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,rm_anova,,,2.0147451526761833,0.14060447304402413,,38,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,A,B,-2.0377563810265538,0.048772131995748355,0.14631639598724505,38,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,A,F,-1.1494126224801386,0.2577617475699558,0.7732852427098673,38,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,B,F,0.877210009260394,0.386033000732378,1.0,38,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,A,B,,0.03119316141836697,0.0935794842551009,38,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,A,F,,0.26577262527323875,0.7973178758197162,38,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,B,F,,0.3720098908246773,1.0,38,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,rm_anova,,,2.0147451526761833,0.14060447304402413,,38,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,A,B,-2.0377563810265538,0.048772131995748355,0.14631639598724505,38,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,A,F,-1.1494126224801386,0.2577617475699558,0.7732852427098673,38,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,B,F,0.877210009260394,0.386033000732378,1.0,38,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,A,B,,0.03119316141836697,0.0935794842551009,38,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,A,F,,0.26577262527323875,0.7973178758197162,38,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,B,F,,0.3720098908246773,1.0,38,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,rm_anova,,,2.0147451526761833,0.14060447304402413,,38,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,A,B,-2.0377563810265538,0.048772131995748355,0.14631639598724505,38,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,A,F,-1.1494126224801386,0.2577617475699558,0.7732852427098673,38,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,B,F,0.877210009260394,0.386033000732378,1.0,38,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,A,B,,0.03119316141836697,0.0935794842551009,38,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,A,F,,0.26577262527323875,0.7973178758197162,38,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,B,F,,0.3720098908246773,1.0,38,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,rm_anova,,,2.0147451526761833,0.14060447304402413,,38,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,A,B,-2.0377563810265538,0.048772131995748355,0.14631639598724505,38,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,A,F,-1.1494126224801386,0.2577617475699558,0.7732852427098673,38,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,B,F,0.877210009260394,0.386033000732378,1.0,38,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,A,B,,0.03119316141836697,0.0935794842551009,38,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,A,F,,0.26577262527323875,0.7973178758197162,38,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,B,F,,0.3720098908246773,1.0,38,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,rm_anova,,,2.0147451526761833,0.14060447304402413,,38,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,A,B,-2.0377563810265538,0.048772131995748355,0.14631639598724505,38,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,A,F,-1.1494126224801386,0.2577617475699558,0.7732852427098673,38,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,paired_ttest,B,F,0.877210009260394,0.386033000732378,1.0,38,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,A,B,,0.03119316141836697,0.0935794842551009,38,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,A,F,,0.26577262527323875,0.7973178758197162,38,3,
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,wilcoxon,B,F,,0.3720098908246773,1.0,38,3,
