Participant ID,Nationality,Participant_Response,Change_Detected,Primary_Trigger,Grounding_Verification,Researcher_Notes
 f31981fc-9011-4437-b2d0-b29e34f4d363,German,"I adjusted my answers probably more because I felt like I got to know the Robot better the more interactions we had instead of based on large differences I percieved between the two interactions (I had national knowledge first, then neutral)",y,general,,It takes time for interaction
 a12345e3-86bb-407c-b37d-958545f2b64b,Italian,"In the neutral interaction the robot was much more talkative than in the national knowledge one, and i felt like it came closer and wanted to interact more",y,general,,"In the baseline the robot is considered more talkative, and it comes closer and wants to interact more. The robot for sure did not come closer as Italian has the minimum comfortable distance between the groups"
75ce6743-7ce3-44de-adfc-a86b0e097dcc,German,"Zes, i answered the two differenlty but the differences were quite small. I felt like the national knowledge run, the robot responded better even to ""slang"" in German. It was easier to uphold a conversation because it was more capable of giving good starters and continue the talk. howver, the topic changes were surprising and it was sometims quite a big jump to different topics that were not related - this was the case for both neutral and national knowledge. Furthermore, I had the feeling that the neutral interaction round was more general and formal and not as specific as the national knowledge round in terms of topics and responses.",y,lang,,"The language in German was good (slang), but the jump of content was perceived as rude."
d1d8ea35-9127-46a9-aa2d-c37a16537f18,German,"Yes the answers changed slightlz because the robot was speaking German, so the experience felt differently.",y,lang,,German is important
9fde0dbf-bef3-460e-90e5-7371e72bf61e,German,I felt comfortable when the robot used my native language and communicaton style,y,lang,,German and Germans communication style are important
d5f6e081-f5da-4662-8e94-5e78d8faf500,German,"For 2., the robot spoke to me in German and was direct, which is a key element of German communication. For 1., the robot asked me whether I preferred communication based on implicit knowledge or not, and I very much prefer communication based on implicit knowledge. I cannot remember my answers perfectly, but in the first round (2.) I think I deemed the robot to be pretty incompetent and misaligned with the values of Germany, but I think that this is the case because I could not compare it to anything. I think that when the robot was neutral, I find that it was a little bit more incompetent. Given that I had the neutral version in the final round, I was more familiar with the robot and gave it higher scores, because the second round (adaptive) was the robot's worst round, so in comparison it seemed more competent in the third round. But in truth I think that the robot was most competent in the first round (national knowledge), even if my answers do not reflect that. The order of the rounds is very important because people make decisions by comparing it to other things, and in the first round I couldn't compare it to anything.",,,,"The order is Foreknowledge, Adaptive, Baseline. With 1 and 2 the users refers actually to Baseline and Foreknowledge respective. The participants highlights that its answers do not reflect its a posteriori reflections because order time influences its answeres and foreknowledge was the best despite it still thinks the robot was misaligned with German cultural values and it was less competent. In terms of interaction the adaptive one was the worst."
ebc22b3f-a946-4b0b-928e-b0a6159b665c,German,"I think neutral worked best, because the interactions were the most fluent, when the robot was speaking german, i feel it often used phrases and intonation that wasa bit ambiguous. I was impressed however by its explanations on high and low context cultures, and that it can adapt to personal preferences in regards to communication styles is intriguing.",y,general,,Highlight that adaptive interaction is intriguous. Best interaction and competence in Neutral one. In German the interaction was weird also because of the intonation.
8c89daf6-0bff-464a-abbc-31ee4d8102aa,Italian,"I found Pepper much more capable and able to interact in the neutral modality. The conversation was faster and more fluent with respect to the Italian mode. Moreover, in neutral interaction the robot also showed social skills (e.g. irony). I consider the level of knowledge equivalent in both modalities.",y,general,,"More capable, faster and with social skills in neutral mode."
 d07625d6-1896-4f00-88a4-af8f3876f20d,German,"Competency was rated lower as Pepper misunderstood ""OK"" in German as English and changed language despite a request to turn back to German.",y,lang,,The participant just answered about the adaptive strategy. Lamenting the problem of language change.
48058970-cb05-497a-afdc-417cd948375d,German,"It only changed slightly, as by the second interaction I felt more at ease with the robot",y,general,,"The order for this participant is Foreknowledge, Baseline and Adaptive. The participant talks about easiness without explaining why."
f46c92aa-e6b6-420e-b3fa-5a2aad8d9fa2,Italian,I noticed that at the last two trials the robot could give better answers.,n,general,,"Last two trials it means Baseline and Foreknowledge. Which means the participants rates the first interaction as bad, but without explaining why. (time, …)"
dd50c4cc-d31c-4500-80c4-6ed8678bdba9,Italian,"Yes, i changed my answers because Pepper during the 2° time stopped talking to me and it blocked, but the communication stye was better compared to the first one. I think it did understand the type of communication that i prefered and used that one.",y,general,,"The order for this participant is Baseline, Foreknowledge and Adaptive. The participants states that the communication style was better in the foreknowledge than in Baseline. Despite problems in talking."
446bf80b-692a-47a6-a394-89b1f3cdf89f,Italian,"Yes, I changed some of my answers, because there was in the middle the other ""way"" that was the worst. Therefore, I think I was a bit biased from the fact that I knew that the Robot was not good as I saw in the first approach. So I think that my answers were a bit badly judging with respect to the first approach mostly because of this reason. But if I have to think about it know, I would say that with the last approach I was more comfortable (maybe because it was my third interaction with him)",y,general,,"The order for this participant was Baseline, Adaptive and Foreknowledge. This means that for him the last interaction (F) was the best because maybe because of the order."
4db961c3-1479-418f-a6bc-970fd0316cad,German,i did answer shorter just yes or no. want see pepper get boring,y,general,,The participant just wanted to play with the robot.
b932fb2d-6574-4124-bd4c-03a0c3bf08fd,German,to start a conversation it was easier in the national knowledge setting but the responses were a bit more confusing and less structured. On the other hand in the natural approach it seemed easier for both and the conversation was not stucked.,y,general,,"Conversation in national knowledge overall better, even  though limitations in the language."
65abbaa2-1adb-4ed5-9569-66bef39d147a,Italian,Yes. I felt that my last run was smoother and slightly more fun. The robot engaged with some interesting topics for me.,y,general,,The last conversation is foreknowledge.
 73f9f44d-e3dd-4508-ac67-58fec77cb282,Italian,"Yes, I did change my answers. I rated the robot higher in some categories when i interacted in the Neutral way, rather than when I interacted with it in the National Knowledge, because I found its communication style way more effective and direct when it was speaking English.",y,comm style,,Points out that the conversation style was better in English than in Italian (which has higher context communication). 
9f0b2bd2-910e-4bda-b01b-cc2418f6d69c,German,I think when speaking my national language the robot was closer to my nationality and culture.,y,general,,
8a9560ba-939a-4096-ab6b-3d829874c1ab,German,I feel like in the neutral setting the robot was way more communicative and did not want to try and talk about a specific subject but rather wanted to see where the conversation is going. That was much better and did not feel forced and thus gave me the impression of it being more knowlageable and made it easier to talk to it.,y,general,,Neutral was better in communication and knowledge
6dae70e5-448b-415e-8971-daab8041bce0,German,"From the neutral to the national knowwledge I changed some of mz questionnaire feedback mainlz because of the language switching from English to German. Also, in the round with National Knowledge, it talked about things I could more rely to and therefore could interact with it on a more natural level.",y,general,,Closer to the national culture the better
3c07aaba-0a94-471c-98aa-fde1b56da434,Italian,"In the national knowledge interaction I noticed that my answers to the questionnaire changed a lot in comparison with the neutral interaction. Indeed in the neutral interaction the robot was more capable, it could answer better my questions and could address better my needs. However in the national knowledge, it seemed to me as the robot couldn't really get what I was saying and answered completely different things. I think this happens since it was initially programmed with the english language and only afterwards with other languages (italian in this case) and hence it has more difficulties in understanding italian.",y,general,,Problems in understanding the language of the user. And in English more capable.
268cc860-2c83-4306-ae13-fcf1dc95df3c,Italian,"In the second interaction I felt the robot more knowledgeable, at the same time also less responsive. This because it showed to have a deeper knowledge on linguistical and cultural aspects of italian. However it seemed to me that the conversation was less natural and more ""impostata"", as if the robot had an agenda.",y,general,,"The order for this participant was Baseline, Foreknowledge and Adaptive. The conversation with foreknowledge was less natural, more knowledgable but less responsive."
101da011-5202-484f-bbcb-37ef039a2d7b,German,"For me, interacting with somebody in English makes it feel like a professional or work-related conversation, as I have no cultural connection to any English-speaking country. On the contrary, when the robot spoke German to me, I felt more connected to what it said as it reminded me of interactions with friends and people from my home country. Additionally, I can express myself more freely in German compared to English, which is why I probably also felt more comfortable in the second setting with the National Knowledge. Nevertheless, I was still satisfied with the Neutral interaction (first scenario), since it seemed to actively respond and adapt to my answers.",,,,
217bc211-db4a-48da-ba5d-2898104d8269,Italian,"My answers changed a lot in the questionnaire between 1. and 2. due to the language spoken by the robot. When it was speaking in Italian and asking me language questions I felt it nearer to my culture than when it was using English. The language didn't affect my answers on its performance (like how reliaiable and knowledgeble), but overall I believe my grades were higher in the National Knowledge case. Generally, I believe that sharing the language is very important in making human relations more straightforward and in creating a feeling of emotional proximity too.",,,,
39ee18d4-e405-459a-a4af-a9a8e468b516,Italian,"My answers changed based on the change of the language and based on the different interaction. I felt like the interaction with the robot was much more natural at the second interaction. I also changed the reliability idea, even if I don't know if I wasn't speaking loud enough or the robot couldn't hear for any reason.",,,,"The order for this participant was Baseline, Foreknowledge and Adaptive"
703587b0-27fd-4a67-844b-5393d2523a08,Italian,"Durante il metodo neutrale il robot non riusciva a cambiare lingua. L'ho visto meno capace rispetto a quando interagiva con National Knowledge. Il robot fa fatica a comprendere lo spazio di navigazione, ad esempio si è allontanato quando gli ho chiesto di avvicinarsi. Nel primo modo di interazione non mi ha chiesto se mi sentivo in conforto con la distanza fra me e lui. Cosa che ha fatto nel secondo. Mi sembra che è capcace ad interagine ed è molto attivo in entrambi i casi.",,,,"The robot needed to go away because it needed to arrive at the destination. Even if the user wants the robot to go closer, the robot has a priority and goes away."
48fb29b4-5b1d-421c-baca-aad711d9b983,German,"I changed my interaction, when the robot was talking in german, because it feels more natural to talk in the native language.",,,,
5cb39904-13e1-4aae-ab46-cd8c25ee4617,Italian,"My ratings went slightly down just for a matter of respose accuracy to my own questions. The general ratings i gave, were given by taking into consideration that an AI's precision is based on the precision of the person's request, i suppose.",,,,
c518959a-629d-41c5-9c57-13d23114062a,German,"yes, my answers changed. In the second round I classified the robot as less competent and reliable, because it switched languages several times, and did not really respond to my questions in a way that made sense. I also classified the second round as less in-line with German culture and language, because the robot did not speak german and did not bring up statistics about Germany.",,,,when it says that it changed language it's talking about Adaptive. When it says that it's not in German it's because it's the neutral paradigm.
9f036f54-e4ba-4892-b7bd-84bbe146f227,Italian,"The main difference i noticed with the interactions was how the robot interacted with me on a personal level, meaning that with the national knowledge interaction the robot seemed more interested into asking questions about my interests and what I thought about certain topics (in my case it asked about what i thought about a globalized language and if i had any interests in the german culture/letterature). I definitly found that the national knowledge conversation was more natural and personal and if the robot wanted to talk with be and not about me, such in the case of the neutral interaction, which I found a bit odd and offputting, making me feel like i was trying to set a language setting.",,,,
62497dd0-50a5-43ef-9f91-d7d46434bd8f,German,"In my impression my last session was much more about national knowledge than my first session. But as for knowledge regarding germany and the german language I would say it did have a grasp have an understanding about it. But I had a hard time establishing a conversation with the robot because it didn^t properly go into what I said to it. For example there was an instant where I asked it about a certain part of the german language where Pepper just started talking about the architecture of german houses and bungalows and such, which was accurate, but not what I asked for. This behaviour also made it hard for me to converse with it in the neutral mode. It had a hard time understanding that I am german speaking and it had a hard time adapting to that.",,,,Complaining on how the Speech to Text works in German
47297d3c-5468-40a0-aa44-6323d590253c,German,"There was a big cultural gap and distance in minor conversational approaches. The reason for that i, because of certain approachstyles which reflect a territorial province of a country compared to an 'international wide spoken language' in itself. So on minor points the use of certain ways of approach are like tinny quirks which feel 'not al to familiar as in [the way I/we would talk in general]', but still makes it understandeble in 'assuption/guessing' ways. So it can create more or less small discomforts in speech, even if understandeble in a certain way. Its just something which doesn't sounds 'known familiar'. A reflection point is the way Pepper used the english language to communicate, BUT the sentence structure and this minor cultural approach in another language didn't match the same level of the 'regular english speaking Pepper', as a certain cultural background has some layered foundations in the other language.",,,,
306ce31e-7894-4635-86a2-db5a2e2aee61,German,"In the third attempt, the robot was interrupting me. During the first attempt, the robot did not understand my question and continued with the normal prpcedure.",,,,"The order for this participant was Foreknowledge, Adaptive and Baseline"
872acdf7-1623-4b13-a37d-e25032e12d76,German,"In the second round, national knowledge, i changed my style of question because I knew how the robotor would interact and what it wants to talk about. I don't think it was because of the national knowledge. I also did not recognize much difference between the first and the second round.",,,,It takes time for the interaction
d2a2b9b5-3bf3-4aee-a475-6848e7c033c1,German,"in the first (english) interaction pepper was very responsive and would end sentences with a question, furthering the conversation. In the second interaction (german) however, pepper responded to questions but didnt ask as many, if ay. Pepper also responded imjediately in english but was often unresponsive in german.",,,,
0da15b0e-6af5-46b5-97d9-8897e64ad864x,German,"Yes, my answers changed. Talking in your own language and about the own culture made it more comfortable to interact with Pepper. It felt more natural and personal..",,,,
38f76f66-888f-46ad-8272-4a7e2d198c2a,German,"Yes, between the neutral and the national knowledge, my answers changed somewhat. I perceived the robot to be more responsive and more capable in the neutral interaction than in the national knowledge one, primarily, because it seems that the robot understood me better using english. The robot however moved less in my impression in the national knowledge interaction, which was more comfortable for me. I think mainly that the robot, apart from speaking my langauge and having cultural knowledge, moved differently in both instances. But eventhough i felt more comfortable with the national knowledge instance concerning the robots movments, I preferred the instance where the robot undersood me better.",,,,
94db124e-abb4-45d7-aeb5-1f0f4ce6514f,Italian,"My answers were mostly silimilar across the two models, as the main differences were noticed between the adaptive one and the remaining two. The 1 and 2 models were friendly and seemed to care more chatting with me. The neutral model was slightly more friendly and seemed more interested in having a conversation, while keeping an easier register and a conversational language. However, the conversation was a little too sterotypical. The third one was a little more informed on my culture.",,,,"The order for this participant was Adaptive, Baseline, Foreknowledge. I think it's talking about this order when it says the number. But I am not sure."
14f09597-b462-4377-bc8c-ee9f84738755,Italian,yes it did change. In the second interaction the robot was much more responsive to my requests and much more aligned with my culture and my country. It was talking in italian and about italian culture. In the first one it had not much knowledge or interaction with italian culture.,,,,"The order for this participant was Baseline, Foreknowledge and Adaptive."
f7cb8760-aa5b-491a-bbb2-c61c0d1fe54b,German,"The National Knowledge mode felt the most useful and advanced. I felt like it actually replied to my inputs. Whereas the Adaptive mode was in my opinion the least useful, as it didn't seem to care what I asked or wanted.",,,,
6df4a0d4-25f8-469c-b4e0-03d254d49444,German,When the questionnaire changed to national knowledge interactions I felt slightly more comfortable and the robot was not too foreign.,,,,
9176c65d-d05f-4ee5-bc6c-e4c10e31ce58,Italian,"When the robot was neutral I found him a lot less talkative and interactive. When the robot was adaptive, he became more talkative and introduce topics himself. Finally, when the robot had national knowledge I found that he was talkative and bought up topics that had to do with languages and natinalities, however I did not feel a difference in attitude and perceived culture between the adaptive and national ways of interaction. In both cases he was interactive and talkative, the conversation topics varied but my perceived capability and responsivness of him was similar, whereas in the neutral I found him elss responsive and therfore less capable.",,,,
bace0f65-c427-49a3-b91f-82b51bd6547c,German,The neutral model was more responive to me than the national knowledge model. I did not perceive too many differences between the modules besides the responsiveness. The neutral and adaptive module were the most responive to me.,,,,
14d250d1-b72e-404d-8fd4-894c0d375599,German,Yes they changed. I had the impression it is less responsive when it adapted to the national knowledge. Maybe it is harder for it to understand what the national preferences are or how German people like to interact. Programming human experience must be difficult.,,,,
7136f1af-5dd3-4449-8119-25485f011a03,German,The first two interactions were the smoothest and the robot understood German well and could respond my words in the target language. But it seems like in the adaptive mode it also tends to switch to Italian although it was unwanted. I tried to talk to the robot in German in the neutral mode but it failed to understand the question. All three modes had the problem that the robot struggled with the navigation task.,,,,
d02ae4e0-ac06-4732-9f34-1a4c90ae176d,Italian,"In the neutral mood, I experience a more dynamic conversation, where the answers where actually making sense. Whether in the national knowledge I felt like it was answering me randomically. I haven't felt any particular connection in the national knowledge so for me he scoreda low point. That is also the reason why I gave him higher points in the neutral, where we interacted more sinnfully.",,,,
c00fe3d7-4292-400b-bf1b-8aaf25d10b19,Italian,"Yes, I did like the neutral interaction slightly more, because I think I never had to repeat my sentences and also the interaction was never going to deep. For my style, I'd rather have a shallower interaction with a robot/home assistant than have to engage in meaningful conversation.",,,,
b2c312b6-1a91-468d-ae87-0e2da33c9c14,German,"I think in the first interaction it was rather a smalltalk. In the second conversation, when I could use my mother tongue, I was more experimental and asked any questions I liked. I think another reason for this difference was the fact that after the first interaction, I already knew how it works and I was not concerned about doing something wrong.",,,,"The order for this participant was Baseline, Foreknowledge, Adaptive. "
7719d904-e3b3-4a09-8390-2c4d8b90742d,German,I am unsure whether my answers changed depending on the language and behaviour that Pepper did. As I speak a lot of English in my day-to-day life the language also comes quite natural to me. I do not recall particular differences in behaviour. Maybe in the first one it was further away from my position and looked away more. The conversation was also more general about household compared to the last condition where the interaction was about my cultural background's usual communication preferences.,,,,"The order for this participant was Baseline, Adaptive, Foreknowledge"
c30ad8f9-b019-40fb-8b64-21d806e4017e,Italian,"I perceived the first approach (i.e., Neutral) to be more schematic and guided, while the second one being more spontaneous and aligned with the robot set objectives.",,,,
f10b68c7-a5cb-40ed-bba7-c35be2a822ba,Italian,"I had the impression that the interction with the Neutral behavior was more plesant, this is probably also given from the fact that my second interaction was very short compeared to the first. In both interactions the robot appeared to have verz good knowledge even though it wanted just to speek about one topic.",,,,
a94aa824-023e-4ea5-b19d-759d1e0c89d0,German,"no, I don't think it changed, I focused more on how the robot was interacting with me than in what language.",,,,
e81a5e00-04a4-4a7d-99cb-8db952ea7448,German,"During the second session the interaction with Pepper was easier, since he understood me better, so he seemed more responsive and capable. So I also wrote that in the questionnaire. In the second session he also seemed to suggest things to talk about and in the first session I had to initiate more of the conversation or the topic choice, so it felt much easier to communicate with him during the second session",,,,"The order for this participant was Adaptive, Foreknowledge and Baseline. (second is Foreknowledge)"
e477d8c2-4e46-4431-a43b-858494c9f174,German,"Yes, Interacting in German was easier and the task I gave Pepper was understood. The second interaction I talked more to Pepper and we interacted more, but Pepper did not always understand want I wanted and changed topics. It was more interactive, but not what I asked for",,,,
bb018895-d280-41cd-a29d-0c49e1b38a25,German,"In the national knowledge round I had some interaction problems with the robot towards the end, that's the main reason behind the different ratings in the questionnaire. Overall however I don't think that the change in behaviour changed a lot my ratings in the questionnaire. The change in languages did also not effect a lot my ratings, has I use both languages daily, I am comfortable with both.",,,,
