Head orientation ,Head orientation (optionals),Torso orientation ,Torso orientation (optional),Arms/Hands ,Arms/Hands (optionals),Facial affect ,Facial affect (optionals),Proxemics ,Proxemics (optionals),Paradigm,Unnamed: 3,Nationality
Tracking,,Tracking,,Self-touch,Back,Smile,,Comfortable,,B,,Italian
Tracking,,Tracking,,Back,Crossed,Neutral,Smile,Comfortable,,B,,Italian
Tracking,,Neutral,,Self-touch,Fidgeting,Smile,,Comfortable,,B,,Italian
Tracking,,Neutral,,Back,Self-touch,Smile,"Neutral, Raised brows",Comfortable,,B,,Italian
Tracking,,Neutral,,Neutral/Side,Self-touch,Neutral,"Smile, Raised brows",Comfortable,,B,,Italian
Tracking,Away,Neutral,,Crossed,,Neutral,Raised brows,Comfortable,,B,,Italian
Tracking,,Neutral,,Crossed,,Neutral,Smile,Comfortable,,B,,Italian
Tracking,,Neutral,,Back,Self-touch,Smile,Raised brows,Comfortable,,B,,Italian
Tracking,,Neutral,,Crossed,,Smile,,Comfortable,,B,,Italian
Tracking,,Neutral,,Back,,Neutral,,Comfortable,,B,,Italian
Tracking,,Neutral,,Neutral/Side,Self-touch,Smile,,Comfortable,,B,,Italian
Tracking,,Neutral,,Back,"Crossed, Self-touch",Neutral,Smile,Comfortable,,B,,Italian
Tracking,,Neutral,,Crossed,Self-touch,Neutral,"Smile, Raised brows",Comfortable,,B,,Italian
Tracking,,Neutral,,Neutral/Side,Self-touch,Neutral,"Smile, Raised brows",Comfortable,,B,,Italian
Tracking,,Neutral,,Neutral/Side,Self-touch,Smile,"Frown, Raised brows",Comfortable,,B,,Italian
Tracking,,Neutral,,Neutral/Side,,Neutral,"Smile, Raised brows",Comfortable,,B,,Italian
Neutral,"Away, Tracking",Neutral,Tracking,Neutral/Side,Self-touch,Neutral,Smile,Comfortable,,B,,Italian
Tracking,,Tracking,,Crossed,,Neutral,Smile,Comfortable,,B,,Italian
Tracking,Away,Neutral,,Crossed,,Neutral,Raised brows,Comfortable,,B,,Italian
Tracking,,Neutral,,Neutral/Side,,Smile,Raised brows,Comfortable,,B,,Italian
Tracking,,Neutral,,Back,,Neutral,,Comfortable,,B,,Italian
Tracking,,Tracking,,Crossed,,Neutral,"Frown, Raised brows",Comfortable,,B,,Italian
Tracking,,Neutral,,Crossed,"Self-touch, Neutral/Side",Neutral,"Smile, Raised brows",Comfortable,,B,,Italian
Tracking,,Neutral,,Neutral/Side,,Neutral,Smile,Comfortable,,B,,Italian
Tracking,,Tracking,,Crossed,"Self-touch, Neutral/Side",Smile,,Comfortable,,B,,Italian
Tracking,,Neutral,,Crossed,,Neutral,"Smile, Frown",Comfortable,,B,,Italian
Tracking,,Neutral,,Crossed,Self-touch,Smile,,Comfortable,,B,,Italian
Tracking,,Tracking,,Back,,Smile,Raised brows,Comfortable,,B,,Italian
Away,"Tracking, Neutral",Neutral,,Crossed,,Neutral,"Frown, Raised brows",Comfortable,,B,,Italian
Neutral,Away,Neutral,,Crossed,,Neutral,,Comfortable,,B,,Italian
Tracking,,Neutral,Tracking,Back,,Neutral,Smile,Comfortable,,B,,Italian
Tracking,"Away, Neutral",Neutral,,Crossed,"Self-touch, Neutral/Side",Neutral,,Comfortable,Withdrawal signal,B,,Italian
Tracking,,Neutral,,Crossed,,Smile,,Comfortable,,B,,Italian
Tracking,,Tracking,Neutral,Crossed,"Self-touch, Back, Neutral/Side",Smile,Neutral,Comfortable,,B,,Italian
Tracking,,Neutral,Tracking,Crossed,,Neutral,"Smile, Frown",Comfortable,,B,,Italian
Tracking,,Tracking,Neutral,Back,,Neutral,Smile,Comfortable,,B,,Italian
Tracking,,Neutral,Tracking,Crossed,Self-touch,Neutral,Smile,Comfortable,,B,,Italian
Tracking,Away,Neutral,Tracking,Crossed,Self-touch,Smile,Frown,Comfortable,,B,,Italian
Tracking,,Neutral,,Neutral/Side,Self-touch,Smile,Neutral,Comfortable,,B,,Italian
Tracking,Away,Neutral,,Neutral/Side,,Neutral,,Comfortable,,B,,Italian
Tracking,,Neutral,,Crossed,Fidgeting,Neutral,Smile,Comfortable,,B,,Italian
Tracking,Away,Tracking,Away,Crossed,"Self-touch, Back",Smile,,Comfortable,,B,,Italian
Neutral,"Away, Tracking",Neutral,Tracking,Back,"Self-touch, Fidgeting",Neutral,Smile,Comfortable,,B,,Italian
Tracking,,Tracking,,Crossed,Self-touch,Neutral,Smile,Comfortable,,B,,Italian
Tracking,Neutral,Neutral,,Back,Crossed,Neutral,Smile,Comfortable,,B,,Italian
Neutral,"Away, Tracking",Neutral,Tracking,Crossed,,Neutral,Smile,Comfortable,,B,,Italian
Tracking,Away,Neutral,,Crossed,Self-touch,Smile,,Comfortable,,B,,Italian
Tracking,,Neutral,,Neutral/Side,Self-touch,Neutral,"Smile, Frown",Comfortable,,B,,Italian
Tracking,,Neutral,,Neutral/Side,,Neutral,"Smile, Raised brows",Comfortable,,B,,Italian
Tracking,,Neutral,,Neutral/Side,,Smile,,Comfortable,,B,,Italian
Tracking,Away,Tracking,,Neutral/Side,"Self-touch, Back",Smile,Neutral,Comfortable,,B,,Italian
Tracking,,Tracking,,Self-touch,"Fidgeting, Back",Smile,"Frown, Raised brows",Comfortable,,B,,Italian
Tracking,,Neutral,,Crossed,,Smile,,Comfortable,,B,,Italian
Tracking,,Neutral,,Back,"Crossed, Self-touch",Smile,Raised brows,Comfortable,,B,,Italian
Tracking,,Neutral,,Crossed,,Smile,Frown,Comfortable,,B,,Italian
