Head orientation ,Head orientation (optionals),Torso orientation ,Torso orientation (optional),Arms/Hands ,Arms/Hands (optionals),Facial affect ,Facial affect (optionals),Proxemics ,Proxemics (optionals),Paradigm,Unnamed: 3,Nationality
Tracking,,Tracking,,Neutral/Side,Self-touch,Neutral,,Comfortable,,F,,Italian
Tracking,Away,Tracking,,Crossed,"Self-touch, Neutral/Side",Neutral,Smile,Comfortable,,F,,Italian
Tracking,Neutral,Neutral,,Neutral/Side,"Crossed, Self-touch, Back",Neutral,,Comfortable,,F,,Italian
Tracking,,Neutral,Tracking,Neutral/Side,,Neutral,Smile,Comfortable,,F,,Italian
Tracking,Neutral,Tracking,Neutral,Neutral/Side,,Smile,,Comfortable,,F,,Italian
Tracking,,Neutral,,Crossed,,Neutral,,Comfortable,,F,,Italian
Tracking,Neutral,Neutral,,Crossed,,Smile,,Comfortable,,F,,Italian
Tracking,,Neutral,,Crossed,,Neutral,,Comfortable,,F,,Italian
Neutral,Tracking,Neutral,,Neutral/Side,Self-touch,Neutral,Smile,Comfortable,,F,,Italian
Neutral,"Away, Tracking",Neutral,,Crossed,,Neutral,,Comfortable,,F,,Italian
Tracking,,Neutral,,Back,,Neutral,Smile,Comfortable,,F,,Italian
Tracking,,Tracking,,Back,,Neutral,,Comfortable,,F,,Italian
Tracking,,Neutral,Tracking,Back,"Self-touch, Fidgeting",Smile,,Comfortable,,F,,Italian
Tracking,,Tracking,,Crossed,,Smile,,Comfortable,,F,,Italian
Tracking,,Tracking,,Crossed,,Neutral,,Comfortable,,F,,Italian
Tracking,Away,Neutral,Tracking,Crossed,Self-touch,Smile,,Comfortable,,F,,Italian
Tracking,,Neutral,,Crossed,,Smile,,Comfortable,,F,,Italian
Tracking,,Neutral,,Crossed,,Neutral,"Smile, Raised brows",Comfortable,,F,,Italian
Tracking,,Neutral,,Neutral/Side,,Neutral,Smile,Comfortable,,F,,Italian
Tracking,,Neutral,,Neutral/Side,Self-touch,Neutral,Smile,Comfortable,,F,,Italian
Tracking,,Neutral,,Back,,Neutral,Smile,Comfortable,,F,,Italian
Tracking,,Tracking,,Back,Neutral/Side,Neutral,Smile,Comfortable,,F,,Italian
Tracking,,Tracking,,Self-touch,Back,Smile,Raised brows,Comfortable,,F,,Italian
Tracking,,Tracking,,Crossed,,Smile,,Comfortable,,F,,Italian
Tracking,,Neutral,,Crossed,,Smile,Neutral,Comfortable,,F,,Italian
Tracking,,Tracking,,Neutral/Side,,Smile,Frown,Comfortable,,F,,Italian
