Context,Metric,Group_A,Group_B,Mean_A,Mean_B,KS_p_value,Cliff_d,Magnitude
Global_Paradigm,Culture_Closeness_Q1,B,F,2.45679012345679,2.950617283950617,0.12448725716216284,-0.2234415485444292,Small
Global_Paradigm,Culture_Closeness_Q2,B,F,2.567901234567901,2.876543209876543,0.5705171228607941,-0.13946044810242342,Negligible
Global_Paradigm,Culture_Closeness_Q3,B,F,3.271604938271605,3.3950617283950617,0.925361084528803,-0.05883249504648681,Negligible
Global_Paradigm,Competence_Q1,B,F,5.54320987654321,5.432098765432099,0.999978514587676,0.027434842249657063,Negligible
Global_Paradigm,Competence_Q2,B,F,6.555555555555555,6.271604938271605,0.925361084528803,0.08443834781283341,Negligible
Global_Paradigm,Competence_Q3,B,F,6.666666666666667,6.1234567901234565,0.702688650071809,0.15576893766194178,Small
Global_Paradigm,Competence_Q4,B,F,5.691358024691358,5.246913580246914,0.2488106951862405,0.14738606919676878,Small
Global_Paradigm,Competence_Q5,B,F,6.654320987654321,6.2592592592592595,0.8276521652890327,0.12498094802621551,Negligible
Global_Paradigm,Competence_Q6,B,F,5.777777777777778,5.592592592592593,0.999978514587676,0.05456485291876238,Negligible
Global_Paradigm,Culture_Closeness_Q1,A,F,2.54320987654321,2.950617283950617,0.3380139796233299,-0.16963877457704618,Small
Global_Paradigm,Culture_Closeness_Q2,A,F,2.567901234567901,2.876543209876543,0.925361084528803,-0.12406645328456029,Negligible
Global_Paradigm,Culture_Closeness_Q3,A,F,2.802469135802469,3.3950617283950617,0.2488106951862405,-0.22389879591525683,Small
Global_Paradigm,Competence_Q1,A,F,4.802469135802469,5.432098765432099,0.3380139796233299,-0.18061271147690902,Small
Global_Paradigm,Competence_Q2,A,F,5.469135802469136,6.271604938271605,0.02288521891131717,-0.20408474317939337,Small
Global_Paradigm,Competence_Q3,A,F,5.567901234567901,6.1234567901234565,0.4462211607239761,-0.14327084285932024,Negligible
Global_Paradigm,Competence_Q4,A,F,4.703703703703703,5.246913580246914,0.02288521891131717,-0.16887669562566682,Small
Global_Paradigm,Competence_Q5,A,F,5.962962962962963,6.2592592592592595,0.925361084528803,-0.0661484529797287,Negligible
Global_Paradigm,Competence_Q6,A,F,4.925925925925926,5.592592592592593,0.2488106951862405,-0.18869074836153024,Small
Nationality_within_P_A,Culture_Closeness_Q1,Italian,German,2.710526315789474,2.395348837209302,0.9863254836356162,0.08384332925336598,Negligible
Nationality_within_P_A,Culture_Closeness_Q2,Italian,German,2.6315789473684212,2.511627906976744,0.8301975398937866,0.012851897184822521,Negligible
Nationality_within_P_A,Culture_Closeness_Q3,Italian,German,2.8157894736842106,2.7906976744186047,0.938120551993756,0.047123623011015914,Negligible
Nationality_within_P_A,Competence_Q1,Italian,German,5.0,4.627906976744186,0.6940736509036076,0.1266829865361077,Negligible
Nationality_within_P_A,Competence_Q2,Italian,German,5.7105263157894735,5.255813953488372,0.9625903830239463,0.1193390452876377,Negligible
Nationality_within_P_A,Competence_Q3,Italian,German,5.868421052631579,5.3023255813953485,0.34848755717803725,0.15483476132190943,Small
Nationality_within_P_A,Competence_Q4,Italian,German,5.052631578947368,4.395348837209302,0.11770667740717658,0.21664626682986537,Small
Nationality_within_P_A,Competence_Q5,Italian,German,6.2368421052631575,5.72093023255814,0.3135723062690512,0.2062423500611995,Small
Nationality_within_P_A,Competence_Q6,Italian,German,5.2368421052631575,4.651162790697675,0.04067836361183618,0.21725826193390452,Small
Nationality_within_P_B,Culture_Closeness_Q1,Italian,German,2.263157894736842,2.627906976744186,0.5647570095728264,-0.14871481028151776,Small
Nationality_within_P_B,Culture_Closeness_Q2,Italian,German,2.3947368421052633,2.7209302325581395,0.7441192610879264,-0.10709914320685435,Negligible
Nationality_within_P_B,Culture_Closeness_Q3,Italian,German,3.4210526315789473,3.13953488372093,0.9527462149830751,0.09791921664626684,Negligible
Nationality_within_P_B,Competence_Q1,Italian,German,5.947368421052632,5.186046511627907,0.10115708642423209,0.2613219094247246,Small
Nationality_within_P_B,Competence_Q2,Italian,German,6.7368421052631575,6.395348837209302,0.7441192610879264,0.11811505507955937,Negligible
Nationality_within_P_B,Competence_Q3,Italian,German,7.2368421052631575,6.162790697674419,0.1288377816445954,0.3237454100367197,Small
Nationality_within_P_B,Competence_Q4,Italian,German,5.7105263157894735,5.674418604651163,0.8743922611064711,0.05997552019583843,Negligible
Nationality_within_P_B,Competence_Q5,Italian,German,6.7894736842105265,6.534883720930233,0.8903183279487523,0.10954712362301101,Negligible
Nationality_within_P_B,Competence_Q6,Italian,German,5.973684210526316,5.604651162790698,0.8903183279487523,0.13892288861689106,Negligible
Nationality_within_P_F,Culture_Closeness_Q1,Italian,German,2.973684210526316,2.9302325581395348,0.9540195788952435,-0.0055079559363525096,Negligible
Nationality_within_P_F,Culture_Closeness_Q2,Italian,German,3.026315789473684,2.744186046511628,0.6031934522753883,0.10281517747858017,Negligible
Nationality_within_P_F,Culture_Closeness_Q3,Italian,German,3.4473684210526314,3.3488372093023258,0.9927731065420979,0.022031823745410038,Negligible
Nationality_within_P_F,Competence_Q1,Italian,German,5.5,5.372093023255814,0.5587674457485767,0.05813953488372093,Negligible
Nationality_within_P_F,Competence_Q2,Italian,German,6.368421052631579,6.186046511627907,0.9793658928553285,0.06425948592411261,Negligible
Nationality_within_P_F,Competence_Q3,Italian,German,6.473684210526316,5.813953488372093,0.39872717044409106,0.19706242350061198,Small
Nationality_within_P_F,Competence_Q4,Italian,German,5.2105263157894735,5.27906976744186,0.9949489676655591,0.01346389228886169,Negligible
Nationality_within_P_F,Competence_Q5,Italian,German,6.315789473684211,6.209302325581396,0.6031934522753883,0.07894736842105263,Negligible
Nationality_within_P_F,Competence_Q6,Italian,German,5.7368421052631575,5.465116279069767,0.9110975368867613,0.09179926560587515,Negligible
Paradigm_within_Nationality_Italian,Culture_Closeness_Q1,A,B,2.710526315789474,2.263157894736842,0.7378793870697806,0.16689750692520774,Small
Paradigm_within_Nationality_Italian,Culture_Closeness_Q2,A,B,2.6315789473684212,2.3947368421052633,0.9032533298136647,0.0796398891966759,Negligible
Paradigm_within_Nationality_Italian,Culture_Closeness_Q3,A,B,2.8157894736842106,3.4210526315789473,0.5452867518859059,-0.1904432132963989,Small
Paradigm_within_Nationality_Italian,Competence_Q1,A,B,5.0,5.947368421052632,0.5452867518859059,-0.2596952908587258,Small
Paradigm_within_Nationality_Italian,Competence_Q2,A,B,5.7105263157894735,6.7368421052631575,0.2389406686101827,-0.2721606648199446,Small
Paradigm_within_Nationality_Italian,Competence_Q3,A,B,5.868421052631579,7.2368421052631575,0.14451472018143485,-0.37119113573407203,Medium
Paradigm_within_Nationality_Italian,Competence_Q4,A,B,5.052631578947368,5.7105263157894735,0.5452867518859059,-0.19321329639889195,Small
Paradigm_within_Nationality_Italian,Competence_Q5,A,B,6.2368421052631575,6.7894736842105265,0.9866453783650283,-0.11634349030470914,Negligible
Paradigm_within_Nationality_Italian,Competence_Q6,A,B,5.2368421052631575,5.973684210526316,0.5452867518859059,-0.1835180055401662,Small
Paradigm_within_Nationality_Italian,Culture_Closeness_Q1,B,F,2.263157894736842,2.973684210526316,0.2389406686101827,-0.2943213296398892,Small
Paradigm_within_Nationality_Italian,Culture_Closeness_Q2,B,F,2.3947368421052633,3.026315789473684,0.2389406686101827,-0.24861495844875348,Small
Paradigm_within_Nationality_Italian,Culture_Closeness_Q3,B,F,3.4210526315789473,3.4473684210526314,0.9866453783650283,-0.0110803324099723,Negligible
Paradigm_within_Nationality_Italian,Competence_Q1,B,F,5.947368421052632,5.5,0.9032533298136647,0.12950138504155126,Negligible
Paradigm_within_Nationality_Italian,Competence_Q2,B,F,6.7368421052631575,6.368421052631579,0.9866453783650283,0.13227146814404434,Negligible
Paradigm_within_Nationality_Italian,Competence_Q3,B,F,7.2368421052631575,6.473684210526316,0.5452867518859059,0.23684210526315788,Small
Paradigm_within_Nationality_Italian,Competence_Q4,B,F,5.7105263157894735,5.2105263157894735,0.5452867518859059,0.1724376731301939,Small
Paradigm_within_Nationality_Italian,Competence_Q5,B,F,6.7894736842105265,6.315789473684211,0.9032533298136647,0.1419667590027701,Negligible
Paradigm_within_Nationality_Italian,Competence_Q6,B,F,5.973684210526316,5.7368421052631575,0.9866453783650283,0.07825484764542937,Negligible
Paradigm_within_Nationality_Italian,Culture_Closeness_Q1,A,F,2.710526315789474,2.973684210526316,0.9866453783650283,-0.11565096952908588,Negligible
Paradigm_within_Nationality_Italian,Culture_Closeness_Q2,A,F,2.6315789473684212,3.026315789473684,0.9032533298136647,-0.15096952908587258,Small
Paradigm_within_Nationality_Italian,Culture_Closeness_Q3,A,F,2.8157894736842106,3.4473684210526314,0.5452867518859059,-0.21121883656509696,Small
Paradigm_within_Nationality_Italian,Competence_Q1,A,F,5.0,5.5,0.7378793870697806,-0.13088642659279778,Negligible
Paradigm_within_Nationality_Italian,Competence_Q2,A,F,5.7105263157894735,6.368421052631579,0.2389406686101827,-0.16897506925207756,Small
Paradigm_within_Nationality_Italian,Competence_Q3,A,F,5.868421052631579,6.473684210526316,0.9032533298136647,-0.15581717451523547,Small
Paradigm_within_Nationality_Italian,Competence_Q4,A,F,5.052631578947368,5.2105263157894735,0.9866453783650283,-0.04362880886426593,Negligible
Paradigm_within_Nationality_Italian,Competence_Q5,A,F,6.2368421052631575,6.315789473684211,0.999869343192135,0.01038781163434903,Negligible
Paradigm_within_Nationality_Italian,Competence_Q6,A,F,5.2368421052631575,5.7368421052631575,0.9032533298136647,-0.09556786703601108,Negligible
Paradigm_within_Nationality_German,Culture_Closeness_Q1,A,B,2.395348837209302,2.627906976744186,0.993566291599337,-0.053542455381287185,Negligible
Paradigm_within_Nationality_German,Culture_Closeness_Q2,A,B,2.511627906976744,2.7209302325581395,0.9377161273776224,-0.03461330448891293,Negligible
Paradigm_within_Nationality_German,Culture_Closeness_Q3,A,B,2.7906976744186047,3.13953488372093,0.9377161273776224,-0.1352082206598161,Negligible
Paradigm_within_Nationality_German,Competence_Q1,A,B,4.627906976744186,5.186046511627907,0.8029323753937533,-0.17090319091400757,Small
Paradigm_within_Nationality_German,Competence_Q2,A,B,5.255813953488372,6.395348837209302,0.19651637509985442,-0.2871822606814494,Small
Paradigm_within_Nationality_German,Competence_Q3,A,B,5.3023255813953485,6.162790697674419,0.3056291974814141,-0.2298539751216874,Small
Paradigm_within_Nationality_German,Competence_Q4,A,B,4.395348837209302,5.674418604651163,0.004834114654932304,-0.3958896700919416,Medium
Paradigm_within_Nationality_German,Competence_Q5,A,B,5.72093023255814,6.534883720930233,0.45062270517842934,-0.23472147106544078,Small
Paradigm_within_Nationality_German,Competence_Q6,A,B,4.651162790697675,5.604651162790698,0.12016305479370333,-0.3039480800432666,Small
Paradigm_within_Nationality_German,Culture_Closeness_Q1,B,F,2.627906976744186,2.9302325581395348,0.45062270517842934,-0.16062736614386156,Small
Paradigm_within_Nationality_German,Culture_Closeness_Q2,B,F,2.7209302325581395,2.744186046511628,0.8029323753937533,-0.04813412655489454,Negligible
Paradigm_within_Nationality_German,Culture_Closeness_Q3,B,F,3.13953488372093,3.3488372093023258,0.8029323753937533,-0.10275824770146025,Negligible
Paradigm_within_Nationality_German,Competence_Q1,B,F,5.186046511627907,5.372093023255814,0.8029323753937533,-0.06976744186046512,Negligible
Paradigm_within_Nationality_German,Competence_Q2,B,F,6.395348837209302,6.186046511627907,0.9999670303234552,0.048674959437533805,Negligible
Paradigm_within_Nationality_German,Competence_Q3,B,F,6.162790697674419,5.813953488372093,0.993566291599337,0.10113574905354246,Negligible
Paradigm_within_Nationality_German,Competence_Q4,B,F,5.674418604651163,5.27906976744186,0.8029323753937533,0.13304488912925905,Negligible
Paradigm_within_Nationality_German,Competence_Q5,B,F,6.534883720930233,6.209302325581396,0.9377161273776224,0.10546241211465657,Negligible
Paradigm_within_Nationality_German,Competence_Q6,B,F,5.604651162790698,5.465116279069767,0.9999999999986748,0.03731746890210925,Negligible
Paradigm_within_Nationality_German,Culture_Closeness_Q1,A,F,2.395348837209302,2.9302325581395348,0.45062270517842934,-0.22282314764737696,Small
Paradigm_within_Nationality_German,Culture_Closeness_Q2,A,F,2.511627906976744,2.744186046511628,0.9999670303234552,-0.09464575446187128,Negligible
Paradigm_within_Nationality_German,Culture_Closeness_Q3,A,F,2.7906976744186047,3.3488372093023258,0.3056291974814141,-0.24445646295294754,Small
Paradigm_within_Nationality_German,Competence_Q1,A,F,4.627906976744186,5.372093023255814,0.45062270517842934,-0.23363980530016226,Small
Paradigm_within_Nationality_German,Competence_Q2,A,F,5.255813953488372,6.186046511627907,0.19651637509985442,-0.23850730124391564,Small
Paradigm_within_Nationality_German,Competence_Q3,A,F,5.3023255813953485,5.813953488372093,0.8029323753937533,-0.12979989183342347,Negligible
Paradigm_within_Nationality_German,Competence_Q4,A,F,4.395348837209302,5.27906976744186,0.010186169919027715,-0.28988642509464574,Small
Paradigm_within_Nationality_German,Competence_Q5,A,F,5.72093023255814,6.209302325581396,0.993566291599337,-0.13088155759870201,Negligible
Paradigm_within_Nationality_German,Competence_Q6,A,F,4.651162790697675,5.465116279069767,0.19651637509985442,-0.2574364521362899,Small
