Metric,Group_A,Group_B,Mean_A,Mean_B,P_Value,Cliff_d,Magnitude
Culture_Closeness_Q3,Italian,German,2.8157894736842106,2.7906976744186047,0.938120551993756,0.047123623011015914,negligible
Competence_Q1,Italian,German,5.0,4.627906976744186,0.6940736509036076,0.1266829865361077,negligible
Competence_Q2,Italian,German,5.7105263157894735,5.255813953488372,0.9625903830239463,0.1193390452876377,negligible
Competence_Q3,Italian,German,5.868421052631579,5.3023255813953485,0.34848755717803725,0.15483476132190943,small
Competence_Q4,Italian,German,5.052631578947368,4.395348837209302,0.11770667740717658,0.21664626682986537,small
Competence_Q5,Italian,German,6.2368421052631575,5.72093023255814,0.3135723062690512,0.2062423500611995,small
Competence_Q6,Italian,German,5.2368421052631575,4.651162790697675,0.04067836361183618,0.21725826193390452,small
Culture_Closeness_Q1,Italian,German,2.263157894736842,2.627906976744186,0.5647570095728264,-0.14871481028151776,small
Culture_Closeness_Q2,Italian,German,2.3947368421052633,2.7209302325581395,0.7441192610879264,-0.10709914320685435,negligible
Culture_Closeness_Q3,Italian,German,3.4210526315789473,3.13953488372093,0.9527462149830751,0.09791921664626684,negligible
Competence_Q1,Italian,German,5.947368421052632,5.186046511627907,0.10115708642423209,0.2613219094247246,small
Competence_Q2,Italian,German,6.7368421052631575,6.395348837209302,0.7441192610879264,0.11811505507955937,negligible
Competence_Q3,Italian,German,7.2368421052631575,6.162790697674419,0.1288377816445954,0.3237454100367197,small
Competence_Q4,Italian,German,5.7105263157894735,5.674418604651163,0.8743922611064711,0.05997552019583843,negligible
Competence_Q5,Italian,German,6.7894736842105265,6.534883720930233,0.8903183279487523,0.10954712362301101,negligible
Competence_Q6,Italian,German,5.973684210526316,5.604651162790698,0.8903183279487523,0.13892288861689106,negligible
Culture_Closeness_Q1,Italian,German,2.973684210526316,2.9302325581395348,0.9540195788952435,-0.0055079559363525096,negligible
Culture_Closeness_Q2,Italian,German,3.026315789473684,2.744186046511628,0.6031934522753883,0.10281517747858017,negligible
Culture_Closeness_Q3,Italian,German,3.4473684210526314,3.3488372093023258,0.9927731065420979,0.022031823745410038,negligible
Competence_Q1,Italian,German,5.5,5.372093023255814,0.5587674457485767,0.05813953488372093,negligible
Competence_Q2,Italian,German,6.368421052631579,6.186046511627907,0.9793658928553285,0.06425948592411261,negligible
Competence_Q3,Italian,German,6.473684210526316,5.813953488372093,0.39872717044409106,0.19706242350061198,small
Competence_Q4,Italian,German,5.2105263157894735,5.27906976744186,0.9949489676655591,0.01346389228886169,negligible
Competence_Q5,Italian,German,6.315789473684211,6.209302325581396,0.6031934522753883,0.07894736842105263,negligible
Competence_Q6,Italian,German,5.7368421052631575,5.465116279069767,0.9110975368867613,0.09179926560587515,negligible
