Paradigm,Category,Value,Count,Percentage
B,Unnamed: 3,873bbe79-2354-4c1d-ae4e-f787e61a1956,1,0.62
F,Head orientation ,Tracking,131,80.86
F,Head orientation ,Neutral,19,11.73
F,Head orientation ,Away,12,7.41
F,Head orientation (optionals),nan,99,61.11
F,Head orientation (optionals),Away,21,12.96
F,Head orientation (optionals),Tracking,19,11.73
F,Head orientation (optionals),Neutral,15,9.26
F,Head orientation (optionals),"Away, Tracking",4,2.47
F,Head orientation (optionals),"Away, Neutral",2,1.23
F,Head orientation (optionals),"Tracking, Neutral",2,1.23
F,Torso orientation ,Neutral,115,70.99
F,Torso orientation ,Tracking,47,29.01
F,Torso orientation (optional),nan,126,77.78
F,Torso orientation (optional),Tracking,25,15.43
F,Torso orientation (optional),Neutral,9,5.56
F,Torso orientation (optional),"Tracking, Neutral",1,0.62
F,Torso orientation (optional),"Away, Tracking",1,0.62
F,Arms/Hands ,Neutral/Side,63,38.89
F,Arms/Hands ,Crossed,45,27.78
F,Arms/Hands ,Back,43,26.54
F,Arms/Hands ,Self-touch,10,6.17
F,Arms/Hands ,Fidgeting,1,0.62
F,Arms/Hands (optionals),nan,93,57.41
F,Arms/Hands (optionals),Self-touch,38,23.46
F,Arms/Hands (optionals),"Crossed, Self-touch",7,4.32
F,Arms/Hands (optionals),Crossed,6,3.7
F,Arms/Hands (optionals),Neutral/Side,3,1.85
F,Arms/Hands (optionals),"Self-touch, Fidgeting",3,1.85
F,Arms/Hands (optionals),Fidgeting,2,1.23
F,Arms/Hands (optionals),"Self-touch, Neutral/Side",2,1.23
F,Arms/Hands (optionals),Back,2,1.23
F,Arms/Hands (optionals),"Self-touch, Fidgeting, Neutral/Side",1,0.62
F,Arms/Hands (optionals),"Back, Neutral/Side",1,0.62
F,Arms/Hands (optionals),"Crossed, Self-touch, Back",1,0.62
F,Arms/Hands (optionals),"Crossed, Self-touch, Neutral/Side",1,0.62
F,Arms/Hands (optionals),"Self-touch, Back",1,0.62
F,Arms/Hands (optionals),"Fidgeting, Neutral/Side",1,0.62
F,Facial affect ,Neutral,101,62.35
F,Facial affect ,Smile,54,33.33
F,Facial affect ,Frown,6,3.7
F,Facial affect ,Raised brows,1,0.62
F,Facial affect (optionals),nan,54,33.33
F,Facial affect (optionals),Smile,53,32.72
F,Facial affect (optionals),"Smile, Raised brows",15,9.26
F,Facial affect (optionals),Raised brows,11,6.79
F,Facial affect (optionals),Neutral,9,5.56
F,Facial affect (optionals),Frown,7,4.32
F,Facial affect (optionals),"Frown, Raised brows",5,3.09
F,Facial affect (optionals),"Smile, Frown",3,1.85
F,Facial affect (optionals),"Neutral, Frown, Raised brows",2,1.23
F,Facial affect (optionals),"Smile, Frown, Raised brows",2,1.23
F,Facial affect (optionals),"Neutral, Frown",1,0.62
F,Proxemics ,Comfortable,160,98.77
F,Proxemics ,Withdrawal signal,2,1.23
F,Proxemics (optionals),nan,152,93.83
F,Proxemics (optionals),Withdrawal signal,8,4.94
F,Proxemics (optionals),Comfortable,1,0.62
F,Proxemics (optionals),Invasion,1,0.62
F,Unnamed: 3,nan,160,98.77
F,Unnamed: 3,873bbe79-2354-4c1d-ae4e-f787e61a1956,2,1.23
