Nationality,Participant_ID,Trust_Overall,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness,Culture_Affinity
German,b932fb2d-6574-4124-bd4c-03a0c3bf08fd,0.7142857142857143,0.75,0.5,0.375,0.5,0.625,0.3333333333333333
German,9f0b2bd2-910e-4bda-b01b-cc2418f6d69c,0.6785714285714286,0.625,0.75,0.5,0.375,0.875,0.4444444444444444
German,8a9560ba-939a-4096-ab6b-3d829874c1ab,0.65,0.75,0.375,0.75,0.875,0.625,0.6666666666666666
German,6dae70e5-448b-415e-8971-daab8041bce0,0.6071428571428572,0.5,0.375,0.5,0.375,0.5,0.4444444444444444
German,101da011-5202-484f-bbcb-37ef039a2d7b,0.6214285714285714,0.625,0.375,0.5,0.375,0.5,0.3888888888888889
German,48fb29b4-5b1d-421c-baca-aad711d9b983,0.7428571428571429,0.5,0.5,0.5,0.625,0.375,0.6111111111111112
German,c518959a-629d-41c5-9c57-13d23114062a,0.6714285714285714,0.625,0.375,0.5,0.5,0.625,0.5555555555555555
German,62497dd0-50a5-43ef-9f91-d7d46434bd8f,0.692857142857143,0.75,0.875,0.75,0.75,0.375,0.5555555555555555
German,47297d3c-5468-40a0-aa44-6323d590253c,0.6642857142857143,0.75,0.75,0.5,0.5,1.0,0.8888888888888888
German,306ce31e-7894-4635-86a2-db5a2e2aee61,0.5857142857142857,0.75,0.75,0.5,0.625,0.5,0.6111111111111112
German,872acdf7-1623-4b13-a37d-e25032e12d76,0.6,0.625,0.625,0.625,0.25,0.75,0.8333333333333334
German,d2a2b9b5-3bf3-4aee-a475-6848e7c033c1,0.4928571428571428,0.625,0.625,0.5,0.5,0.875,0.5
German,0da15b0e-6af5-46b5-97d9-8897e64ad864x,0.7357142857142857,0.75,0.75,0.5,0.875,0.5,0.6666666666666666
German,38f76f66-888f-46ad-8272-4a7e2d198c2a,0.7785714285714286,0.5,0.625,0.375,0.375,0.875,0.6111111111111112
German,f7cb8760-aa5b-491a-bbb2-c61c0d1fe54b,0.4,0.5,0.5,0.625,0.625,0.375,0.5555555555555555
German,6df4a0d4-25f8-469c-b4e0-03d254d49444,0.6071428571428572,0.75,0.5,0.5,0.5,0.75,0.6666666666666666
German,bace0f65-c427-49a3-b91f-82b51bd6547c,0.657142857142857,0.625,0.5,0.75,0.75,0.875,0.8333333333333334
German,14d250d1-b72e-404d-8fd4-894c0d375599,0.6714285714285714,0.625,0.625,0.5,0.625,0.5,0.7222222222222222
German,7136f1af-5dd3-4449-8119-25485f011a03,0.842857142857143,0.5,0.625,0.5,0.75,0.75,0.3333333333333333
German,b2c312b6-1a91-468d-ae87-0e2da33c9c14,0.6857142857142857,0.75,0.625,0.375,0.625,0.125,0.6111111111111112
German,7719d904-e3b3-4a09-8390-2c4d8b90742d,0.6142857142857143,0.5,0.75,0.5,0.5,0.5,0.6666666666666666
German,a94aa824-023e-4ea5-b19d-759d1e0c89d0,0.6428571428571429,0.875,0.875,0.625,0.75,1.0,0.4444444444444444
German,e81a5e00-04a4-4a7d-99cb-8db952ea7448,0.5571428571428572,0.5,0.625,0.5,0.5,0.75,0.6666666666666666
German,e477d8c2-4e46-4431-a43b-858494c9f174,0.7071428571428571,0.75,0.625,0.625,0.75,0.875,0.6666666666666666
German,bb018895-d280-41cd-a29d-0c49e1b38a25,0.7714285714285714,0.5,0.375,0.75,0.375,0.375,0.6666666666666666
