Culture_Affinity_Q1,Culture_Affinity_Q2,Culture_Affinity_Q3,Personality_BFI_Q1,Personality_BFI_Q2,Personality_BFI_Q3,Personality_BFI_Q4,Personality_BFI_Q5,Personality_BFI_Q6,Personality_BFI_Q7,Personality_BFI_Q8,Personality_BFI_Q9,Personality_BFI_Q10,Robot_Trust_Q1,Robot_Trust_Q2,Robot_Trust_Q3,Robot_Trust_Q4,Robot_Trust_Q5,Robot_Trust_Q6,Robot_Trust_Q7,Robot_Trust_Q8,Robot_Trust_Q9,Robot_Trust_Q10,Robot_Trust_Q11,Robot_Trust_Q12,Robot_Trust_Q13,Robot_Trust_Q14
0.0,0.16666666666666666,0.5,0.75,0.75,0.5,0.75,0.25,0.5,0.25,0.75,0.75,0.75,0.9,0.8,0.8,0.7,0.8,0.9,0.9,0.9,0.7,0.9,0.5,0.8,0.8,0.5
0.8333333333333334,1.0,0.8333333333333334,0.75,1.0,0.25,0.5,0.5,0.75,0.0,0.75,0.75,0.75,0.6,0.7,0.6,0.6,0.6,0.8,0.6,0.6,0.5,0.6,0.3,0.4,0.6,0.3
0.3333333333333333,1.0,0.6666666666666666,0.75,0.5,0.0,0.25,0.25,0.5,0.5,1.0,0.5,1.0,0.7,0.9,0.9,0.9,0.5,0.8,0.8,0.9,0.2,0.8,0.3,0.8,0.8,0.3
0.16666666666666666,0.3333333333333333,0.0,0.75,0.25,0.0,1.0,0.0,0.5,0.75,1.0,0.0,1.0,0.9,0.7,0.7,0.8,0.4,0.5,0.5,0.1,1.0,0.6,0.7,0.9,0.3,0.2
0.5,0.6666666666666666,0.8333333333333334,0.75,1.0,0.5,1.0,0.0,1.0,0.25,0.5,0.5,1.0,0.4,0.4,0.5,0.5,0.4,0.5,0.5,0.5,0.3,0.6,0.2,0.4,0.5,0.2
0.5,0.6666666666666666,1.0,1.0,0.75,0.25,0.25,0.5,0.25,0.25,0.75,0.5,0.75,1.0,0.9,0.9,0.8,0.8,0.9,1.0,0.9,0.8,0.9,0.0,1.0,0.5,0.5
0.6666666666666666,0.8333333333333334,0.8333333333333334,0.75,0.5,0.25,0.5,0.75,0.75,0.25,1.0,0.25,0.75,1.0,0.8,1.0,0.9,0.5,1.0,1.0,1.0,0.0,0.8,0.0,0.9,0.7,0.0
0.16666666666666666,0.16666666666666666,0.3333333333333333,0.25,0.75,1.0,1.0,0.5,0.75,0.25,0.75,0.0,0.5,0.8,0.8,0.8,0.8,0.7,0.8,0.8,0.8,0.1,0.1,0.3,0.5,0.6,0.5
0.5,0.3333333333333333,0.16666666666666666,0.75,0.75,0.0,0.75,0.5,0.75,0.25,0.75,0.25,0.75,1.0,0.9,0.9,0.6,0.7,0.9,0.8,0.7,0.5,0.8,0.4,0.8,0.7,0.3
0.0,0.8333333333333334,0.5,0.5,0.75,0.25,0.25,0.75,0.75,0.75,0.75,0.5,1.0,0.9,0.8,0.9,0.5,0.6,0.9,0.4,0.8,0.7,1.0,0.2,0.8,0.8,0.2
0.5,0.6666666666666666,0.8333333333333334,0.75,0.5,0.75,0.75,0.5,0.75,0.25,0.75,1.0,0.75,0.9,0.7,0.8,0.7,0.7,0.9,0.7,0.7,0.5,0.6,0.3,0.8,0.7,0.1
0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.75,0.75,0.5,0.25,0.0,0.0,0.25,0.25,0.75,0.8,0.6,0.6,0.7,0.7,0.9,0.8,0.8,0.2,0.5,0.4,0.6,0.5,0.4
0.3333333333333333,0.5,0.3333333333333333,0.25,0.5,0.0,0.75,0.25,1.0,0.25,1.0,0.0,0.75,0.6,0.9,0.7,0.9,0.8,0.7,0.6,0.7,0.4,0.6,0.4,0.6,0.4,0.4
0.5,0.6666666666666666,0.6666666666666666,0.25,0.5,0.5,0.75,0.25,0.75,0.5,0.5,0.5,0.5,0.7,0.7,0.7,0.7,0.6,0.7,0.7,0.8,0.7,0.8,0.7,0.9,1.0,0.7
0.3333333333333333,0.8333333333333334,0.5,1.0,0.75,0.25,0.25,0.5,0.25,0.0,0.75,0.75,0.75,0.8,0.7,0.7,0.6,0.6,0.9,0.7,0.8,0.8,0.7,0.5,0.6,0.6,0.4
0.5,0.8333333333333334,0.3333333333333333,0.75,0.75,0.5,0.5,0.0,0.75,1.0,1.0,1.0,0.75,0.7,0.6,0.6,0.8,0.6,0.9,0.8,0.9,0.5,0.7,0.5,0.8,0.7,0.6
1.0,0.6666666666666666,1.0,0.5,1.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,0.7,0.8,0.6,0.8,0.8,0.8,0.7,0.7,0.4,0.7,0.2,0.9,0.7,0.5
0.6666666666666666,0.3333333333333333,0.8333333333333334,0.75,0.75,0.25,0.75,0.25,0.75,0.75,0.75,0.5,0.75,0.7,0.6,0.6,0.7,0.7,0.8,0.7,0.5,0.2,0.7,0.3,0.8,0.7,0.2
0.6666666666666666,1.0,0.8333333333333334,0.5,0.75,0.5,0.25,0.75,0.75,0.5,0.75,0.25,0.75,0.2,0.8,0.6,0.6,0.6,0.8,0.4,0.4,1.0,0.6,0.8,0.9,0.6,0.1
0.5,0.5,0.5,0.75,0.75,0.5,0.75,0.75,0.5,0.5,0.5,0.25,1.0,0.4,0.4,0.2,0.5,0.3,0.5,0.7,0.7,0.5,0.7,0.4,0.5,0.5,0.6
0.5,0.8333333333333334,0.6666666666666666,0.75,1.0,0.0,1.0,0.5,0.75,0.5,1.0,0.75,0.5,0.9,1.0,0.8,0.9,1.0,0.8,0.7,0.6,0.8,0.7,0.4,0.7,0.6,0.4
0.16666666666666666,1.0,0.6666666666666666,1.0,1.0,0.0,0.5,0.75,0.0,0.25,0.75,0.25,1.0,1.0,1.0,0.8,0.6,0.9,0.9,1.0,0.9,0.4,0.8,0.4,0.8,0.9,0.5
0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.75,0.5,0.25,0.0,0.0,0.25,0.75,1.0,0.75,0.4,0.6,0.3,0.3,0.2,0.6,0.4,0.2,0.7,0.3,0.6,0.5,0.4,0.1
0.6666666666666666,0.8333333333333334,0.5,0.75,1.0,0.25,0.25,0.75,0.75,0.0,0.75,0.75,0.75,0.7,0.9,0.9,0.9,0.5,0.6,0.7,0.9,0.1,0.8,0.1,0.6,0.5,0.3
0.6666666666666666,1.0,0.8333333333333334,0.75,1.0,0.5,1.0,0.75,0.5,0.0,1.0,0.5,1.0,0.5,0.5,0.3,0.7,0.6,0.7,0.7,0.4,0.8,0.9,0.8,0.8,0.7,0.8
0.5,1.0,0.6666666666666666,0.75,1.0,0.0,0.75,0.0,0.5,0.25,1.0,0.5,1.0,0.8,0.8,0.8,0.8,0.8,0.8,0.5,0.7,0.7,0.8,0.5,0.5,0.5,0.4
0.16666666666666666,0.5,0.3333333333333333,0.75,1.0,0.25,1.0,1.0,0.25,0.25,0.75,0.5,0.5,0.9,0.9,0.8,0.9,0.8,0.9,0.9,0.7,0.9,0.9,0.9,0.9,0.9,0.5
0.3333333333333333,0.8333333333333334,0.6666666666666666,0.75,1.0,0.25,0.75,0.0,0.75,0.25,0.5,0.5,0.25,0.8,0.8,0.5,0.8,0.8,0.8,1.0,0.9,0.5,0.9,0.5,0.5,0.5,0.3
0.5,0.8333333333333334,0.6666666666666666,0.25,1.0,0.5,0.75,0.25,0.75,0.5,0.5,0.25,0.75,0.8,0.8,0.8,0.3,0.5,0.5,0.7,0.8,0.6,0.7,0.4,0.7,0.7,0.3
0.16666666666666666,0.8333333333333334,0.3333333333333333,0.75,1.0,0.75,0.5,1.0,1.0,0.75,0.5,1.0,1.0,0.9,0.7,0.8,0.7,0.7,0.9,0.8,0.9,0.1,0.8,0.1,0.8,0.7,0.1
0.5,0.8333333333333334,0.6666666666666666,0.25,0.75,0.25,0.25,0.75,0.75,0.5,0.75,0.75,0.75,0.7,0.7,0.7,0.4,0.4,0.7,0.7,0.6,0.4,0.7,0.1,0.8,0.7,0.2
0.5,1.0,0.5,1.0,0.75,0.5,0.5,0.75,0.5,0.5,0.75,1.0,1.0,0.8,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.6,0.8,0.3,0.8,0.8,0.3
0.6666666666666666,1.0,0.3333333333333333,0.75,0.25,0.75,0.0,0.0,0.25,0.5,0.75,0.75,0.75,0.8,0.7,0.7,1.0,0.6,0.9,0.6,0.6,0.9,1.0,0.8,0.7,0.8,0.7
