Nationality,Participant_ID,Trust_Overall,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness,Culture_Affinity
Italian,75601dde-bfc7-4c5d-bd3d-02a5703c4bf2,0.7,0.625,0.375,0.375,0.25,0.625,0.7222222222222222
Italian,c12a3001-11c2-4e38-8bb5-788342191e17,0.7142857142857143,0.625,0.25,0.5,0.375,0.75,0.7777777777777778
Italian,e979e6ff-54dd-4c1d-b148-64480ed585cf,0.6357142857142857,0.75,0.5,0.5,0.5,0.625,0.7222222222222222
Italian,873bbe79-2354-4c1d-ae4e-f787e61a1956,0.692857142857143,0.375,0.5,0.5,0.25,0.75,0.8888888888888888
Italian,c7373ea2-6f06-4cd2-bc9f-75dfbaa8c5fd,0.85,0.75,0.5,0.5,0.5,0.75,1.0
Italian,b1f78262-947f-4f64-b434-66eed804c0a2,0.5642857142857143,0.625,0.375,0.25,0.5,0.5,0.6111111111111112
Italian,93dcfeaa-e30b-40f7-96ec-602592ff2b0a,0.6142857142857143,0.5,0.5,0.75,0.5,0.5,0.9444444444444444
German,d510493c-d0f3-4094-8d3b-07d71f8fae47,0.657142857142857,0.625,0.625,0.875,0.625,1.0,0.8333333333333334
German,f31981fc-9011-4437-b2d0-b29e34f4d363,0.8,0.625,0.5,0.625,0.625,0.375,0.4444444444444444
Italian,a12345e3-86bb-407c-b37d-958545f2b64b,0.7285714285714286,0.875,0.625,0.5,0.5,0.625,0.9444444444444444
German,d1d8ea35-9127-46a9-aa2d-c37a16537f18,0.6142857142857143,0.75,0.5,0.5,0.625,0.625,0.8888888888888888
German,9fde0dbf-bef3-460e-90e5-7371e72bf61e,0.7857142857142857,0.625,0.5,0.5,0.375,0.625,0.6666666666666666
German,ebc22b3f-a946-4b0b-928e-b0a6159b665c,0.5357142857142857,0.875,0.625,0.5,0.75,0.5,0.6666666666666666
Italian,8c89daf6-0bff-464a-abbc-31ee4d8102aa,0.6642857142857143,0.5,0.5,0.5,0.5,0.75,0.9444444444444444
German,d07625d6-1896-4f00-88a4-af8f3876f20d,0.807142857142857,0.625,0.5,0.5,0.375,0.625,0.7222222222222222
German,48058970-cb05-497a-afdc-417cd948375d,0.9,0.75,0.375,0.625,0.375,0.75,0.7777777777777778
Italian,f46c92aa-e6b6-420e-b3fa-5a2aad8d9fa2,0.7071428571428571,0.75,0.75,0.375,0.5,0.875,0.9444444444444444
Italian,dd50c4cc-d31c-4500-80c4-6ed8678bdba9,0.7285714285714286,0.75,0.625,1.0,0.5,0.875,0.7222222222222222
Italian,446bf80b-692a-47a6-a394-89b1f3cdf89f,0.7642857142857143,0.875,0.625,0.375,0.25,0.875,0.6111111111111112
German,b932fb2d-6574-4124-bd4c-03a0c3bf08fd,0.7571428571428571,0.75,0.5,0.375,0.5,0.625,0.3333333333333333
Italian,65abbaa2-1adb-4ed5-9569-66bef39d147a,0.6857142857142857,0.75,0.75,0.5,0.625,0.5,0.8333333333333334
Italian,73f9f44d-e3dd-4508-ac67-58fec77cb282,0.7285714285714286,0.5,0.5,0.375,0.5,0.25,0.6666666666666666
German,9f0b2bd2-910e-4bda-b01b-cc2418f6d69c,0.7357142857142857,0.625,0.75,0.5,0.375,0.875,0.4444444444444444
German,8a9560ba-939a-4096-ab6b-3d829874c1ab,0.7357142857142857,0.75,0.375,0.75,0.875,0.625,0.6666666666666666
German,6dae70e5-448b-415e-8971-daab8041bce0,0.6785714285714286,0.5,0.375,0.5,0.375,0.5,0.4444444444444444
Italian,3c07aaba-0a94-471c-98aa-fde1b56da434,0.75,0.75,0.625,0.625,0.375,0.5,0.7777777777777778
Italian,268cc860-2c83-4306-ae13-fcf1dc95df3c,0.6785714285714286,0.75,0.625,0.75,0.625,0.625,0.7777777777777778
German,101da011-5202-484f-bbcb-37ef039a2d7b,0.6642857142857143,0.625,0.375,0.5,0.375,0.5,0.3888888888888889
Italian,217bc211-db4a-48da-ba5d-2898104d8269,0.7071428571428571,0.5,0.625,0.75,0.5,0.625,0.8333333333333334
Italian,39ee18d4-e405-459a-a4af-a9a8e468b516,0.5714285714285715,0.875,0.75,0.75,0.625,0.75,0.5555555555555555
Italian,703587b0-27fd-4a67-844b-5393d2523a08,0.8857142857142857,0.625,0.375,0.625,0.75,0.5,0.7777777777777778
German,48fb29b4-5b1d-421c-baca-aad711d9b983,0.657142857142857,0.5,0.5,0.5,0.625,0.375,0.6111111111111112
Italian,5cb39904-13e1-4aae-ab46-cd8c25ee4617,0.75,0.375,0.25,0.75,0.5,0.625,0.9444444444444444
German,c518959a-629d-41c5-9c57-13d23114062a,0.6428571428571429,0.625,0.375,0.5,0.5,0.625,0.5555555555555555
Italian,9f036f54-e4ba-4892-b7bd-84bbe146f227,0.7071428571428571,0.5,0.625,0.75,0.5,0.75,0.8333333333333334
German,62497dd0-50a5-43ef-9f91-d7d46434bd8f,0.6785714285714286,0.75,0.875,0.75,0.75,0.375,0.5555555555555555
German,47297d3c-5468-40a0-aa44-6323d590253c,0.7214285714285714,0.75,0.75,0.5,0.5,1.0,0.8888888888888888
German,306ce31e-7894-4635-86a2-db5a2e2aee61,0.7,0.75,0.75,0.5,0.625,0.5,0.6111111111111112
German,872acdf7-1623-4b13-a37d-e25032e12d76,0.5428571428571428,0.625,0.625,0.625,0.25,0.75,0.8333333333333334
German,d2a2b9b5-3bf3-4aee-a475-6848e7c033c1,0.4928571428571428,0.625,0.625,0.5,0.5,0.875,0.5
German,0da15b0e-6af5-46b5-97d9-8897e64ad864x,0.7214285714285714,0.75,0.75,0.5,0.875,0.5,0.6666666666666666
German,38f76f66-888f-46ad-8272-4a7e2d198c2a,0.807142857142857,0.5,0.625,0.375,0.375,0.875,0.6111111111111112
Italian,94db124e-abb4-45d7-aeb5-1f0f4ce6514f,0.7357142857142857,0.875,0.75,0.5,0.5,0.75,0.6666666666666666
Italian,14f09597-b462-4377-bc8c-ee9f84738755,0.6714285714285714,0.875,0.75,0.375,0.375,0.5,1.0
German,f7cb8760-aa5b-491a-bbb2-c61c0d1fe54b,0.4142857142857143,0.5,0.5,0.625,0.625,0.375,0.5555555555555555
German,6df4a0d4-25f8-469c-b4e0-03d254d49444,0.75,0.75,0.5,0.5,0.5,0.75,0.6666666666666666
Italian,9176c65d-d05f-4ee5-bc6c-e4c10e31ce58,0.6285714285714286,0.625,0.5,0.5,0.875,0.5,0.8333333333333334
German,bace0f65-c427-49a3-b91f-82b51bd6547c,0.5285714285714286,0.625,0.5,0.75,0.75,0.875,0.8333333333333334
German,14d250d1-b72e-404d-8fd4-894c0d375599,0.657142857142857,0.625,0.625,0.5,0.625,0.5,0.7222222222222222
German,7136f1af-5dd3-4449-8119-25485f011a03,0.7285714285714286,0.5,0.625,0.5,0.75,0.75,0.3333333333333333
Italian,d02ae4e0-ac06-4732-9f34-1a4c90ae176d,0.7214285714285714,0.75,0.375,0.625,0.25,0.5,0.7222222222222222
Italian,c00fe3d7-4292-400b-bf1b-8aaf25d10b19,0.7,0.75,0.375,0.5,0.5,0.625,0.2777777777777777
German,b2c312b6-1a91-468d-ae87-0e2da33c9c14,0.7142857142857143,0.75,0.625,0.375,0.625,0.125,0.6111111111111112
German,7719d904-e3b3-4a09-8390-2c4d8b90742d,0.6428571428571429,0.5,0.75,0.5,0.5,0.5,0.6666666666666666
Italian,c30ad8f9-b019-40fb-8b64-21d806e4017e,0.6785714285714286,0.875,0.5,0.625,0.625,0.75,0.8333333333333334
Italian,f10b68c7-a5cb-40ed-bba7-c35be2a822ba,0.7142857142857143,0.625,0.5,0.375,0.75,0.375,0.8888888888888888
German,a94aa824-023e-4ea5-b19d-759d1e0c89d0,0.8142857142857143,0.875,0.875,0.625,0.75,1.0,0.4444444444444444
German,e81a5e00-04a4-4a7d-99cb-8db952ea7448,0.6714285714285714,0.5,0.625,0.5,0.5,0.75,0.6666666666666666
German,e477d8c2-4e46-4431-a43b-858494c9f174,0.75,0.75,0.625,0.625,0.75,0.875,0.6666666666666666
German,bb018895-d280-41cd-a29d-0c49e1b38a25,0.6428571428571429,0.5,0.375,0.75,0.375,0.375,0.6666666666666666
