Paradigm,Nationality,Participant_ID,Culture_Closeness_Q1,Culture_Closeness_Q2,Culture_Closeness_Q3,Competence_Q1,Competence_Q2,Competence_Q3,Competence_Q4,Competence_Q5,Competence_Q6,Culture_Closeness_Q1_norm,Culture_Closeness_Q2_norm,Culture_Closeness_Q3_norm,Culture_Closeness_Avg,Competence_Q1_norm,Competence_Q2_norm,Competence_Q3_norm,Competence_Q4_norm,Competence_Q5_norm,Competence_Q6_norm,Competence_Overall,all_average
A,German,54327bfe-6f42-427f-b32d-02e417005af2,1,1,1,2,3,2,4,4,2,0.0,0.0,0.0,0.0,0.125,0.25,0.125,0.375,0.375,0.125,0.2291666666666666,0.1145833333333333
B,German,54327bfe-6f42-427f-b32d-02e417005af2,2,1,3,6,7,8,7,6,7,0.1666666666666666,0.0,0.3333333333333333,0.1666666666666666,0.625,0.75,0.875,0.75,0.625,0.75,0.7291666666666666,0.4479166666666666
B,Italian,83960241-a4c6-45de-9e6e-cc3a74c992f3,1,1,1,3,3,8,1,7,4,0.0,0.0,0.0,0.0,0.25,0.25,0.875,0.0,0.75,0.375,0.4166666666666667,0.2083333333333333
A,Italian,83960241-a4c6-45de-9e6e-cc3a74c992f3,1,1,1,2,8,8,2,7,2,0.0,0.0,0.0,0.0,0.125,0.875,0.875,0.125,0.75,0.125,0.4791666666666667,0.2395833333333333
F,Italian,83960241-a4c6-45de-9e6e-cc3a74c992f3,1,1,1,3,8,8,2,7,2,0.0,0.0,0.0,0.0,0.25,0.875,0.875,0.125,0.75,0.125,0.5,0.25
B,German,e9a864b0-8b7c-4e9a-b0a8-30f178ff28fa,1,1,1,2,2,2,3,5,2,0.0,0.0,0.0,0.0,0.125,0.125,0.125,0.25,0.5,0.125,0.2083333333333333,0.1041666666666666
F,German,e9a864b0-8b7c-4e9a-b0a8-30f178ff28fa,3,3,4,7,7,8,8,7,8,0.3333333333333333,0.3333333333333333,0.5,0.3888888888888888,0.75,0.75,0.875,0.875,0.75,0.875,0.8125,0.6006944444444444
A,German,e9a864b0-8b7c-4e9a-b0a8-30f178ff28fa,2,3,3,7,7,6,8,7,7,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.2777777777777777,0.75,0.75,0.625,0.875,0.75,0.75,0.75,0.5138888888888888
A,Italian,25871003-e174-4bef-8e09-fb8f2e7ada43,2,1,1,4,6,5,4,6,6,0.1666666666666666,0.0,0.0,0.0555555555555555,0.375,0.625,0.5,0.375,0.625,0.625,0.5208333333333334,0.2881944444444445
F,Italian,25871003-e174-4bef-8e09-fb8f2e7ada43,2,1,3,4,6,6,3,5,5,0.1666666666666666,0.0,0.3333333333333333,0.1666666666666666,0.375,0.625,0.625,0.25,0.5,0.5,0.4791666666666667,0.3229166666666667
B,Italian,25871003-e174-4bef-8e09-fb8f2e7ada43,1,1,6,7,7,7,7,5,7,0.0,0.0,0.8333333333333334,0.2777777777777778,0.75,0.75,0.75,0.75,0.5,0.75,0.7083333333333334,0.4930555555555556
B,Italian,bd325b19-676d-4a2a-bbe0-4fbf8efe6a27,1,2,4,6,7,6,5,7,5,0.0,0.1666666666666666,0.5,0.2222222222222222,0.625,0.75,0.625,0.5,0.75,0.5,0.625,0.4236111111111111
F,Italian,bd325b19-676d-4a2a-bbe0-4fbf8efe6a27,2,2,3,6,6,5,4,5,5,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.2222222222222222,0.625,0.625,0.5,0.375,0.5,0.5,0.5208333333333334,0.3715277777777778
A,Italian,bd325b19-676d-4a2a-bbe0-4fbf8efe6a27,1,1,1,2,3,3,1,2,1,0.0,0.0,0.0,0.0,0.125,0.25,0.25,0.0,0.125,0.0,0.125,0.0625
A,Italian,59fe0540-66fd-4fa6-ac63-76d06890b7c2,2,1,2,2,2,2,1,1,1,0.1666666666666666,0.0,0.1666666666666666,0.1111111111111111,0.125,0.125,0.125,0.0,0.0,0.0,0.0625,0.0868055555555555
B,Italian,59fe0540-66fd-4fa6-ac63-76d06890b7c2,3,2,3,3,6,6,2,6,5,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.2777777777777777,0.25,0.625,0.625,0.125,0.625,0.5,0.4583333333333333,0.3680555555555555
F,Italian,59fe0540-66fd-4fa6-ac63-76d06890b7c2,5,4,4,4,6,6,3,7,4,0.6666666666666666,0.5,0.5,0.5555555555555555,0.375,0.625,0.625,0.25,0.75,0.375,0.5,0.5277777777777777
A,Italian,e68108b4-aeaa-4005-9c08-b9cdd7a87729,4,4,4,5,6,6,6,7,6,0.5,0.5,0.5,0.5,0.5,0.625,0.625,0.625,0.75,0.625,0.625,0.5625
F,Italian,e68108b4-aeaa-4005-9c08-b9cdd7a87729,3,3,4,6,8,8,7,7,7,0.3333333333333333,0.3333333333333333,0.5,0.3888888888888888,0.625,0.875,0.875,0.75,0.75,0.75,0.7708333333333334,0.5798611111111112
B,Italian,e68108b4-aeaa-4005-9c08-b9cdd7a87729,3,2,5,8,9,9,9,8,8,0.3333333333333333,0.1666666666666666,0.6666666666666666,0.3888888888888888,0.875,1.0,1.0,1.0,0.875,0.875,0.9375,0.6631944444444444
B,Italian,75601dde-bfc7-4c5d-bd3d-02a5703c4bf2,2,2,1,7,8,9,5,7,6,0.1666666666666666,0.1666666666666666,0.0,0.1111111111111111,0.75,0.875,1.0,0.5,0.75,0.625,0.75,0.4305555555555556
A,Italian,75601dde-bfc7-4c5d-bd3d-02a5703c4bf2,3,3,2,6,7,8,7,7,6,0.3333333333333333,0.3333333333333333,0.1666666666666666,0.2777777777777777,0.625,0.75,0.875,0.75,0.75,0.625,0.7291666666666666,0.5034722222222222
F,Italian,75601dde-bfc7-4c5d-bd3d-02a5703c4bf2,3,3,2,7,8,8,7,6,5,0.3333333333333333,0.3333333333333333,0.1666666666666666,0.2777777777777777,0.75,0.875,0.875,0.75,0.625,0.5,0.7291666666666666,0.5034722222222222
F,Italian,c12a3001-11c2-4e38-8bb5-788342191e17,5,2,1,2,7,4,7,6,5,0.6666666666666666,0.1666666666666666,0.0,0.2777777777777777,0.125,0.75,0.375,0.75,0.625,0.5,0.5208333333333334,0.3993055555555556
A,Italian,c12a3001-11c2-4e38-8bb5-788342191e17,2,2,1,4,3,3,3,7,6,0.1666666666666666,0.1666666666666666,0.0,0.1111111111111111,0.375,0.25,0.25,0.25,0.75,0.625,0.4166666666666667,0.2638888888888889
B,Italian,c12a3001-11c2-4e38-8bb5-788342191e17,1,1,3,6,7,8,7,8,8,0.0,0.0,0.3333333333333333,0.1111111111111111,0.625,0.75,0.875,0.75,0.875,0.875,0.7916666666666666,0.4513888888888888
F,Italian,e979e6ff-54dd-4c1d-b148-64480ed585cf,2,2,1,2,3,4,2,6,3,0.1666666666666666,0.1666666666666666,0.0,0.1111111111111111,0.125,0.25,0.375,0.125,0.625,0.25,0.2916666666666667,0.2013888888888889
B,Italian,e979e6ff-54dd-4c1d-b148-64480ed585cf,1,1,1,6,6,3,2,6,2,0.0,0.0,0.0,0.0,0.625,0.625,0.25,0.125,0.625,0.125,0.3958333333333333,0.1979166666666666
A,Italian,e979e6ff-54dd-4c1d-b148-64480ed585cf,2,2,2,6,8,8,5,7,5,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.625,0.875,0.875,0.5,0.75,0.5,0.6875,0.4270833333333333
F,Italian,873bbe79-2354-4c1d-ae4e-f787e61a1956,4,3,5,6,6,6,5,4,6,0.5,0.3333333333333333,0.6666666666666666,0.5,0.625,0.625,0.625,0.5,0.375,0.625,0.5625,0.53125
B,Italian,873bbe79-2354-4c1d-ae4e-f787e61a1956,5,4,5,7,7,8,7,7,6,0.6666666666666666,0.5,0.6666666666666666,0.611111111111111,0.75,0.75,0.875,0.75,0.75,0.625,0.75,0.6805555555555556
A,Italian,873bbe79-2354-4c1d-ae4e-f787e61a1956,4,3,3,5,4,3,5,6,5,0.5,0.3333333333333333,0.3333333333333333,0.3888888888888888,0.5,0.375,0.25,0.5,0.625,0.5,0.4583333333333333,0.423611111111111
F,Italian,c7373ea2-6f06-4cd2-bc9f-75dfbaa8c5fd,2,2,3,2,2,1,5,4,5,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.2222222222222222,0.125,0.125,0.0,0.5,0.375,0.5,0.2708333333333333,0.2465277777777777
B,Italian,c7373ea2-6f06-4cd2-bc9f-75dfbaa8c5fd,1,1,4,5,7,6,8,7,7,0.0,0.0,0.5,0.1666666666666666,0.5,0.75,0.625,0.875,0.75,0.75,0.7083333333333334,0.4375
A,Italian,c7373ea2-6f06-4cd2-bc9f-75dfbaa8c5fd,2,2,2,1,3,3,6,2,1,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.25,0.25,0.625,0.125,0.0,0.2083333333333333,0.1875
A,Italian,b1f78262-947f-4f64-b434-66eed804c0a2,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,Italian,b1f78262-947f-4f64-b434-66eed804c0a2,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,Italian,b1f78262-947f-4f64-b434-66eed804c0a2,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,Italian,93dcfeaa-e30b-40f7-96ec-602592ff2b0a,4,5,6,7,8,8,7,9,7,0.5,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.75,0.875,0.875,0.75,1.0,0.75,0.8333333333333334,0.75
B,Italian,93dcfeaa-e30b-40f7-96ec-602592ff2b0a,5,5,7,8,9,9,8,8,8,0.6666666666666666,0.6666666666666666,1.0,0.7777777777777777,0.875,1.0,1.0,0.875,0.875,0.875,0.9166666666666666,0.8472222222222221
A,Italian,93dcfeaa-e30b-40f7-96ec-602592ff2b0a,5,5,6,7,8,8,7,8,7,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.7222222222222222,0.75,0.875,0.875,0.75,0.875,0.75,0.8125,0.7673611111111112
A,German,d510493c-d0f3-4094-8d3b-07d71f8fae47,2,2,3,6,6,7,5,6,8,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.2222222222222222,0.625,0.625,0.75,0.5,0.625,0.875,0.6666666666666666,0.4444444444444444
F,German,d510493c-d0f3-4094-8d3b-07d71f8fae47,1,2,2,5,8,8,5,6,6,0.0,0.1666666666666666,0.1666666666666666,0.1111111111111111,0.5,0.875,0.875,0.5,0.625,0.625,0.6666666666666666,0.3888888888888888
B,German,d510493c-d0f3-4094-8d3b-07d71f8fae47,3,3,3,8,8,9,7,8,8,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.875,0.875,1.0,0.75,0.875,0.875,0.875,0.6041666666666666
A,German,f31981fc-9011-4437-b2d0-b29e34f4d363,1,2,4,5,7,6,4,6,5,0.0,0.1666666666666666,0.5,0.2222222222222222,0.5,0.75,0.625,0.375,0.625,0.5,0.5625,0.3923611111111111
F,German,f31981fc-9011-4437-b2d0-b29e34f4d363,1,3,4,6,7,6,6,6,5,0.0,0.3333333333333333,0.5,0.2777777777777777,0.625,0.75,0.625,0.625,0.625,0.5,0.625,0.4513888888888888
B,German,f31981fc-9011-4437-b2d0-b29e34f4d363,1,2,5,6,7,7,5,6,6,0.0,0.1666666666666666,0.6666666666666666,0.2777777777777777,0.625,0.75,0.75,0.5,0.625,0.625,0.6458333333333334,0.4618055555555556
F,Italian,a12345e3-86bb-407c-b37d-958545f2b64b,4,3,4,6,7,7,3,7,5,0.5,0.3333333333333333,0.5,0.4444444444444444,0.625,0.75,0.75,0.25,0.75,0.5,0.6041666666666666,0.5243055555555556
A,Italian,a12345e3-86bb-407c-b37d-958545f2b64b,5,4,4,4,7,7,3,7,3,0.6666666666666666,0.5,0.5,0.5555555555555555,0.375,0.75,0.75,0.25,0.75,0.25,0.5208333333333334,0.5381944444444444
B,Italian,a12345e3-86bb-407c-b37d-958545f2b64b,4,4,6,6,7,8,4,7,4,0.5,0.5,0.8333333333333334,0.6111111111111112,0.625,0.75,0.875,0.375,0.75,0.375,0.625,0.6180555555555556
B,German,d1d8ea35-9127-46a9-aa2d-c37a16537f18,1,2,2,4,5,5,5,6,5,0.0,0.1666666666666666,0.1666666666666666,0.1111111111111111,0.375,0.5,0.5,0.5,0.625,0.5,0.5,0.3055555555555556
A,German,d1d8ea35-9127-46a9-aa2d-c37a16537f18,1,1,1,2,2,3,3,2,3,0.0,0.0,0.0,0.0,0.125,0.125,0.25,0.25,0.125,0.25,0.1875,0.09375
F,German,d1d8ea35-9127-46a9-aa2d-c37a16537f18,2,2,1,5,4,4,5,5,5,0.1666666666666666,0.1666666666666666,0.0,0.1111111111111111,0.5,0.375,0.375,0.5,0.5,0.5,0.4583333333333333,0.2847222222222222
A,German,9fde0dbf-bef3-460e-90e5-7371e72bf61e,2,2,3,4,4,4,5,5,3,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.2222222222222222,0.375,0.375,0.375,0.5,0.5,0.25,0.3958333333333333,0.3090277777777778
B,German,9fde0dbf-bef3-460e-90e5-7371e72bf61e,2,2,4,5,6,5,6,5,6,0.1666666666666666,0.1666666666666666,0.5,0.2777777777777777,0.5,0.625,0.5,0.625,0.5,0.625,0.5625,0.4201388888888888
F,German,9fde0dbf-bef3-460e-90e5-7371e72bf61e,5,5,5,7,7,8,8,8,8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.75,0.875,0.875,0.875,0.875,0.8333333333333334,0.75
A,German,ebc22b3f-a946-4b0b-928e-b0a6159b665c,1,1,1,2,3,2,2,2,3,0.0,0.0,0.0,0.0,0.125,0.25,0.125,0.125,0.125,0.25,0.1666666666666666,0.0833333333333333
B,German,ebc22b3f-a946-4b0b-928e-b0a6159b665c,2,2,2,5,5,5,5,7,6,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.5,0.5,0.5,0.5,0.75,0.625,0.5625,0.3645833333333333
F,German,ebc22b3f-a946-4b0b-928e-b0a6159b665c,1,2,2,3,3,4,3,6,5,0.0,0.1666666666666666,0.1666666666666666,0.1111111111111111,0.25,0.25,0.375,0.25,0.625,0.5,0.375,0.2430555555555555
F,Italian,8c89daf6-0bff-464a-abbc-31ee4d8102aa,2,1,4,4,7,7,5,7,6,0.1666666666666666,0.0,0.5,0.2222222222222222,0.375,0.75,0.75,0.5,0.75,0.625,0.625,0.4236111111111111
A,Italian,8c89daf6-0bff-464a-abbc-31ee4d8102aa,2,3,5,6,7,7,6,8,6,0.1666666666666666,0.3333333333333333,0.6666666666666666,0.3888888888888888,0.625,0.75,0.75,0.625,0.875,0.625,0.7083333333333334,0.5486111111111112
B,Italian,8c89daf6-0bff-464a-abbc-31ee4d8102aa,1,2,5,8,9,9,7,9,8,0.0,0.1666666666666666,0.6666666666666666,0.2777777777777777,0.875,1.0,1.0,0.75,1.0,0.875,0.9166666666666666,0.5972222222222222
F,German,d07625d6-1896-4f00-88a4-af8f3876f20d,4,2,4,6,7,8,6,5,6,0.5,0.1666666666666666,0.5,0.3888888888888888,0.625,0.75,0.875,0.625,0.5,0.625,0.6666666666666666,0.5277777777777777
B,German,d07625d6-1896-4f00-88a4-af8f3876f20d,3,4,4,5,9,8,6,5,4,0.3333333333333333,0.5,0.5,0.4444444444444444,0.5,1.0,0.875,0.625,0.5,0.375,0.6458333333333334,0.5451388888888888
A,German,d07625d6-1896-4f00-88a4-af8f3876f20d,4,2,3,5,9,9,7,8,4,0.5,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,0.75,0.875,0.375,0.75,0.5416666666666666
F,German,48058970-cb05-497a-afdc-417cd948375d,3,2,3,2,3,3,5,6,3,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.2777777777777777,0.125,0.25,0.25,0.5,0.625,0.25,0.3333333333333333,0.3055555555555555
B,German,48058970-cb05-497a-afdc-417cd948375d,2,2,2,2,4,2,3,5,3,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.125,0.375,0.125,0.25,0.5,0.25,0.2708333333333333,0.21875
A,German,48058970-cb05-497a-afdc-417cd948375d,3,2,2,4,6,6,4,5,4,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.2222222222222222,0.375,0.625,0.625,0.375,0.5,0.375,0.4791666666666667,0.3506944444444444
A,Italian,f46c92aa-e6b6-420e-b3fa-5a2aad8d9fa2,6,6,4,3,4,4,5,5,3,0.8333333333333334,0.8333333333333334,0.5,0.7222222222222223,0.25,0.375,0.375,0.5,0.5,0.25,0.375,0.5486111111111112
B,Italian,f46c92aa-e6b6-420e-b3fa-5a2aad8d9fa2,7,7,6,9,9,8,8,8,8,1.0,1.0,0.8333333333333334,0.9444444444444444,1.0,1.0,0.875,0.875,0.875,0.875,0.9166666666666666,0.9305555555555556
F,Italian,f46c92aa-e6b6-420e-b3fa-5a2aad8d9fa2,6,7,6,8,8,8,8,8,8,0.8333333333333334,1.0,0.8333333333333334,0.888888888888889,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.8819444444444444
B,Italian,dd50c4cc-d31c-4500-80c4-6ed8678bdba9,1,1,3,4,8,8,6,8,8,0.0,0.0,0.3333333333333333,0.1111111111111111,0.375,0.875,0.875,0.625,0.875,0.875,0.75,0.4305555555555556
F,Italian,dd50c4cc-d31c-4500-80c4-6ed8678bdba9,3,3,6,7,3,3,6,7,6,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.5,0.75,0.25,0.25,0.625,0.75,0.625,0.5416666666666666,0.5208333333333333
A,Italian,dd50c4cc-d31c-4500-80c4-6ed8678bdba9,2,2,4,8,7,8,7,8,7,0.1666666666666666,0.1666666666666666,0.5,0.2777777777777777,0.875,0.75,0.875,0.75,0.875,0.75,0.8125,0.5451388888888888
B,Italian,446bf80b-692a-47a6-a394-89b1f3cdf89f,2,3,3,7,8,9,8,9,8,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.2777777777777777,0.75,0.875,1.0,0.875,1.0,0.875,0.8958333333333334,0.5868055555555556
A,Italian,446bf80b-692a-47a6-a394-89b1f3cdf89f,1,1,2,5,5,8,4,6,6,0.0,0.0,0.1666666666666666,0.0555555555555555,0.5,0.5,0.875,0.375,0.625,0.625,0.5833333333333334,0.3194444444444445
F,Italian,446bf80b-692a-47a6-a394-89b1f3cdf89f,3,4,3,8,8,8,6,7,6,0.3333333333333333,0.5,0.3333333333333333,0.3888888888888888,0.875,0.875,0.875,0.625,0.75,0.625,0.7708333333333334,0.5798611111111112
F,German,b932fb2d-6574-4124-bd4c-03a0c3bf08fd,4,2,3,6,7,8,5,6,5,0.5,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.625,0.75,0.875,0.5,0.625,0.5,0.6458333333333334,0.4895833333333333
A,German,b932fb2d-6574-4124-bd4c-03a0c3bf08fd,2,3,3,6,8,7,6,6,6,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.2777777777777777,0.625,0.875,0.75,0.625,0.625,0.625,0.6875,0.4826388888888888
